LANGUAGE,AGE,SET
language_1,"[1, 0]",10
language_2,"[1, 0]",10
language_3,"[1, 0]",10
language_4,"[1, 0]",10
language_5,"[1, 0]",10
language_6,"[0, 0]",10
language_9,"[1, 0]",10
language_10,"[1, 0]",10
language_11,"[1, 0]",10
language_12,"[0, 0]",10
language_13,"[0, 0]",10
language_14,"[1, 0]",10
language_15,"[1, 0]",10
language_16,"[0, 0]",10
language_18,"[1, 0]",10
language_19,"[1, 0]",10
language_20,"[1, 0]",10
language_21,"[1, 0]",10
language_22,"[1, 0]",10
language_23,"[0, 0]",10
language_24,"[1, 0]",10
language_25,"[0, 0]",10
language_27,"[1, 0]",10
language_28,"[1, 0]",10
language_29,"[0, 0]",10
language_30,"[1, 0]",10
language_31,"[1, 0]",10
language_32,"[1, 0]",10
language_34,"[0, 0]",10
language_36,"[1, 1]",10
language_38,"[1, 0]",10
language_39,"[0, 0]",10
language_40,"[1, 0]",10
language_41,"[1, 0]",10
language_42,"[1, 0]",10
language_44,"[1, 0]",10
language_45,"[1, 0]",10
language_46,"[1, 0]",10
language_47,"[1, 0]",10
language_48,"[1, 1]",10
language_49,"[1, 0]",10
language_50,"[0, 0]",10
language_51,"[1, 0]",10
language_52,"[1, 0]",10
language_53,"[0, 0]",10
language_55,"[1, 0]",10
language_57,"[1, 1]",10
language_58,"[0, 0]",10
language_59,"[1, 0]",10
language_60,"[1, 0]",10
language_61,"[0, 0]",10
language_62,"[0, 0]",10
language_64,"[0, 0]",10
language_65,"[0, 0]",10
language_66,"[1, 1]",10
language_67,"[1, 0]",10
language_68,"[0, 0]",10
language_69,"[1, 0]",10
language_70,"[1, 0]",10
language_71,"[1, 0]",10
language_73,"[1, 0]",10
language_74,"[1, 0]",10
language_75,"[0, 0]",10
language_76,"[0, 0]",10
language_78,"[1, 0]",10
language_81,"[1, 0]",10
language_82,"[0, 0]",10
language_84,"[1, 0]",10
language_85,"[1, 0]",10
language_86,"[1, 0]",10
language_88,"[1, 0]",10
language_89,"[1, 0]",10
language_90,"[1, 0]",10
language_92,"[0, 1]",10
language_96,"[1, 0]",10
language_97,"[1, 0]",10
language_98,"[1, 0]",10
language_101,"[1, 0]",10
language_102,"[0, 0]",10
language_103,"[1, 0]",10
language_104,"[1, 0]",10
language_105,"[1, 0]",10
language_106,"[1, 0]",10
language_107,"[0, 0]",10
language_108,"[0, 0]",10
language_109,"[1, 0]",10
language_110,"[1, 0]",10
language_111,"[0, 0]",10
language_112,"[1, 0]",10
language_113,"[1, 0]",10
language_115,"[1, 0]",10
language_116,"[0, 0]",10
language_117,"[0, 0]",10
language_118,"[1, 1]",10
language_120,"[0, 0]",10
language_122,"[0, 0]",10
language_123,"[1, 0]",10
language_124,"[1, 0]",10
language_126,"[1, 0]",10
language_127,"[1, 0]",10
language_128,"[1, 0]",10
language_129,"[0, 0]",10
language_130,"[1, 0]",10
language_131,"[1, 0]",10
language_132,"[1, 0]",10
language_133,"[1, 0]",10
language_134,"[1, 0]",10
language_135,"[1, 0]",10
language_136,"[1, 0]",10
language_138,"[1, 0]",10
language_139,"[1, 0]",10
language_140,"[1, 0]",10
language_141,"[0, 0]",10
language_142,"[0, 0]",10
language_143,"[1, 0]",10
language_144,"[1, 1]",10
language_145,"[0, 0]",10
language_146,"[1, 0]",10
language_147,"[0, 0]",10
language_148,"[1, 0]",10
language_149,"[0, 0]",10
language_150,"[1, 0]",10
language_151,"[1, 0]",10
language_152,"[0, 0]",10
language_155,"[1, 0]",10
language_156,"[1, 0]",10
language_157,"[0, 0]",10
language_158,"[1, 0]",10
language_159,"[1, 0]",10
language_160,"[1, 1]",10
language_161,"[0, 0]",10
language_162,"[1, 0]",10
language_164,"[0, 0]",10
language_165,"[1, 0]",10
language_167,"[1, 0]",10
language_168,"[1, 1]",10
language_169,"[0, 0]",10
language_170,"[0, 0]",10
language_172,"[1, 0]",10
language_173,"[0, 0]",10
language_175,"[1, 0]",10
language_177,"[1, 0]",10
language_178,"[1, 0]",10
language_179,"[0, 0]",10
language_180,"[1, 0]",10
language_181,"[0, 0]",10
language_182,"[1, 0]",10
language_183,"[0, 0]",10
language_184,"[1, 0]",10
language_187,"[0, 0]",10
language_188,"[1, 0]",10
language_190,"[0, 0]",10
language_191,"[0, 0]",10
language_192,"[0, 0]",10
language_194,"[0, 0]",10
language_195,"[1, 0]",10
language_196,"[1, 0]",10
language_197,"[0, 0]",10
language_198,"[0, 0]",10
language_199,"[0, 0]",10
language_201,"[0, 0]",10
language_202,"[1, 0]",10
language_203,"[1, 0]",10
language_204,"[0, 1]",10
language_205,"[0, 0]",10
language_206,"[1, 0]",10
language_207,"[1, 0]",10
language_208,"[1, 0]",10
language_209,"[1, 0]",10
language_210,"[0, 0]",10
language_213,"[0, 0]",10
language_214,"[1, 0]",10
language_215,"[0, 0]",10
language_216,"[1, 0]",10
language_217,"[1, 0]",10
language_218,"[0, 0]",10
language_219,"[1, 0]",10
language_221,"[1, 0]",10
language_222,"[1, 0]",10
language_223,"[1, 0]",10
language_224,"[0, 0]",10
language_226,"[1, 0]",10
language_229,"[1, 1]",10
language_230,"[0, 1]",10
language_231,"[1, 0]",10
language_232,"[0, 0]",10
language_235,"[1, 0]",10
language_236,"[0, 0]",10
language_237,"[0, 0]",10
language_238,"[1, 0]",10
language_239,"[0, 0]",10
language_240,"[0, 1]",10
language_242,"[1, 0]",10
language_243,"[1, 0]",10
language_244,"[0, 0]",10
language_245,"[0, 0]",10
language_246,"[1, 0]",10
language_247,"[1, 0]",10
language_250,"[0, 0]",10
language_251,"[1, 0]",10
language_253,"[0, 0]",10
language_255,"[0, 0]",10
language_256,"[1, 1]",10
language_257,"[1, 0]",10
language_258,"[1, 0]",10
language_259,"[1, 1]",10
language_260,"[1, 0]",10
language_261,"[1, 0]",10
language_263,"[0, 1]",10
language_264,"[0, 0]",10
language_265,"[1, 0]",10
language_266,"[1, 0]",10
language_267,"[1, 0]",10
language_268,"[1, 0]",10
language_269,"[1, 0]",10
language_270,"[1, 0]",10
language_271,"[1, 0]",10
language_272,"[0, 0]",10
language_273,"[0, 0]",10
language_274,"[1, 0]",10
language_275,"[0, 0]",10
language_277,"[1, 0]",10
language_278,"[1, 0]",10
language_279,"[0, 0]",10
language_280,"[1, 0]",10
language_281,"[1, 0]",10
language_283,"[1, 0]",10
language_285,"[0, 1]",10
language_288,"[1, 0]",10
language_289,"[0, 1]",10
language_290,"[1, 0]",10
language_291,"[1, 0]",10
language_292,"[0, 0]",10
language_293,"[0, 0]",10
language_296,"[1, 0]",10
language_297,"[0, 0]",10
language_298,"[0, 0]",10
language_299,"[0, 0]",10
language_300,"[0, 0]",10
language_301,"[1, 0]",10
language_302,"[0, 0]",10
language_303,"[1, 0]",10
language_304,"[1, 0]",10
language_305,"[1, 1]",10
language_307,"[1, 0]",10
language_308,"[1, 0]",10
language_309,"[1, 0]",10
language_310,"[1, 0]",10
language_311,"[0, 0]",10
language_312,"[1, 0]",10
language_313,"[0, 0]",10
language_314,"[1, 0]",10
language_315,"[1, 1]",10
language_316,"[1, 0]",10
language_317,"[1, 0]",10
language_318,"[1, 0]",10
language_319,"[1, 0]",10
language_320,"[0, 0]",10
language_321,"[1, 1]",10
language_323,"[0, 0]",10
language_325,"[1, 0]",10
language_326,"[0, 0]",10
language_327,"[0, 0]",10
language_328,"[1, 0]",10
language_329,"[1, 0]",10
language_330,"[1, 1]",10
language_331,"[1, 0]",10
language_332,"[1, 0]",10
language_333,"[0, 0]",10
language_334,"[0, 0]",10
language_335,"[1, 0]",10
language_336,"[1, 0]",10
language_337,"[1, 0]",10
language_339,"[1, 1]",10
language_340,"[1, 0]",10
language_341,"[1, 0]",10
language_342,"[0, 0]",10
language_343,"[1, 0]",10
language_344,"[0, 0]",10
language_345,"[1, 0]",10
language_346,"[1, 1]",10
language_347,"[1, 0]",10
language_350,"[1, 0]",10
language_351,"[1, 0]",10
language_353,"[0, 1]",10
language_354,"[1, 0]",10
language_355,"[1, 0]",10
language_357,"[1, 0]",10
language_358,"[1, 1]",10
language_359,"[0, 0]",10
language_360,"[1, 0]",10
language_361,"[0, 1]",10
language_362,"[1, 0]",10
language_363,"[1, 0]",10
language_364,"[1, 0]",10
language_366,"[1, 0]",10
language_367,"[1, 0]",10
language_370,"[1, 0]",10
language_371,"[1, 0]",10
language_372,"[1, 0]",10
language_373,"[1, 0]",10
language_374,"[1, 0]",10
language_375,"[0, 0]",10
language_376,"[0, 0]",10
language_377,"[0, 0]",10
language_379,"[1, 0]",10
language_380,"[1, 0]",10
language_382,"[0, 1]",10
language_385,"[1, 0]",10
language_386,"[1, 0]",10
language_387,"[1, 0]",10
language_388,"[1, 0]",10
language_389,"[0, 1]",10
language_393,"[0, 0]",10
language_394,"[1, 0]",10
language_395,"[1, 0]",10
language_396,"[0, 0]",10
language_397,"[0, 0]",10
language_398,"[1, 0]",10
language_399,"[0, 0]",10
language_400,"[0, 0]",10
language_401,"[1, 0]",10
language_402,"[1, 0]",10
language_403,"[0, 0]",10
language_404,"[0, 0]",10
language_405,"[1, 0]",10
language_406,"[1, 0]",10
language_408,"[1, 0]",10
language_410,"[0, 0]",10
language_411,"[0, 0]",10
language_412,"[1, 0]",10
language_413,"[1, 0]",10
language_416,"[1, 0]",10
language_417,"[1, 0]",10
language_418,"[1, 0]",10
language_419,"[0, 0]",10
language_420,"[1, 0]",10
language_421,"[1, 0]",10
language_422,"[1, 0]",10
language_423,"[1, 0]",10
language_424,"[1, 0]",10
language_426,"[1, 0]",10
language_427,"[1, 0]",10
language_428,"[1, 1]",10
language_429,"[1, 0]",10
language_430,"[1, 0]",10
language_431,"[0, 0]",10
language_432,"[1, 0]",10
language_433,"[1, 0]",10
language_434,"[0, 0]",10
language_435,"[1, 0]",10
language_436,"[0, 0]",10
language_437,"[1, 0]",10
language_438,"[1, 0]",10
language_439,"[0, 0]",10
language_440,"[0, 0]",10
language_441,"[0, 0]",10
language_442,"[1, 0]",10
language_444,"[0, 0]",10
language_445,"[1, 0]",10
language_447,"[0, 0]",10
language_448,"[1, 0]",10
language_449,"[0, 0]",10
language_451,"[1, 0]",10
language_452,"[1, 0]",10
language_453,"[1, 1]",10
language_454,"[0, 0]",10
language_455,"[1, 0]",10
language_456,"[1, 0]",10
language_457,"[1, 0]",10
language_458,"[1, 1]",10
language_459,"[1, 1]",10
