LANGUAGE,AGE,SET
language_2,"[1, 0]",192
language_3,"[1, 0]",192
language_4,"[1, 1]",192
language_5,"[1, 0]",192
language_8,"[0, 0]",192
language_9,"[1, 0]",192
language_10,"[1, 0]",192
language_11,"[1, 0]",192
language_12,"[0, 0]",192
language_14,"[0, 1]",192
language_16,"[0, 0]",192
language_17,"[0, 0]",192
language_18,"[1, 0]",192
language_19,"[1, 0]",192
language_20,"[0, 1]",192
language_21,"[1, 0]",192
language_23,"[1, 0]",192
language_24,"[1, 0]",192
language_26,"[1, 0]",192
language_27,"[1, 0]",192
language_28,"[1, 0]",192
language_29,"[0, 0]",192
language_30,"[1, 0]",192
language_31,"[0, 0]",192
language_32,"[0, 0]",192
language_33,"[1, 0]",192
language_34,"[0, 0]",192
language_35,"[1, 0]",192
language_40,"[1, 0]",192
language_41,"[1, 1]",192
language_42,"[1, 0]",192
language_44,"[0, 0]",192
language_45,"[1, 1]",192
language_46,"[1, 1]",192
language_47,"[1, 0]",192
language_48,"[0, 0]",192
language_49,"[1, 0]",192
language_51,"[0, 0]",192
language_52,"[0, 0]",192
language_53,"[1, 0]",192
language_54,"[0, 1]",192
language_55,"[1, 0]",192
language_56,"[1, 0]",192
language_57,"[0, 0]",192
language_59,"[0, 0]",192
language_60,"[0, 0]",192
language_61,"[0, 0]",192
language_63,"[1, 0]",192
language_64,"[1, 0]",192
language_65,"[1, 0]",192
language_66,"[1, 0]",192
language_67,"[1, 0]",192
language_69,"[0, 0]",192
language_70,"[1, 0]",192
language_71,"[0, 0]",192
language_72,"[1, 0]",192
language_73,"[1, 0]",192
language_74,"[0, 0]",192
language_75,"[1, 0]",192
language_78,"[1, 0]",192
language_79,"[0, 1]",192
language_80,"[0, 0]",192
language_81,"[1, 0]",192
language_83,"[1, 0]",192
language_84,"[1, 0]",192
language_85,"[1, 1]",192
language_87,"[1, 0]",192
language_88,"[1, 0]",192
language_89,"[0, 0]",192
language_90,"[1, 0]",192
language_91,"[1, 0]",192
language_92,"[1, 0]",192
language_93,"[1, 0]",192
language_94,"[1, 0]",192
language_95,"[0, 0]",192
language_96,"[1, 0]",192
language_97,"[0, 0]",192
language_98,"[0, 0]",192
language_99,"[1, 1]",192
language_100,"[1, 0]",192
language_101,"[0, 0]",192
language_102,"[0, 0]",192
language_103,"[0, 0]",192
language_104,"[1, 0]",192
language_105,"[1, 0]",192
language_106,"[1, 0]",192
language_108,"[1, 0]",192
language_109,"[1, 0]",192
language_111,"[1, 0]",192
language_112,"[1, 1]",192
language_113,"[1, 1]",192
language_114,"[0, 1]",192
language_117,"[1, 1]",192
language_118,"[1, 0]",192
language_121,"[0, 0]",192
language_122,"[0, 0]",192
language_123,"[1, 1]",192
language_124,"[1, 0]",192
language_125,"[0, 0]",192
language_126,"[1, 0]",192
language_127,"[1, 0]",192
language_130,"[0, 0]",192
language_131,"[1, 1]",192
language_133,"[1, 0]",192
language_134,"[1, 0]",192
language_135,"[0, 0]",192
language_136,"[0, 0]",192
language_137,"[1, 0]",192
