LANGUAGE,AGE
language_1,"[0, 0]"
language_2,"[1, 0]"
language_3,"[1, 0]"
language_4,"[0, 0]"
language_5,"[0, 0]"
language_7,"[1, 0]"
language_8,"[0, 0]"
language_9,"[0, 0]"
language_10,"[0, 0]"
language_11,"[0, 0]"
language_12,"[1, 0]"
language_13,"[0, 0]"
language_14,"[0, 0]"
language_15,"[1, 0]"
language_16,"[0, 0]"
language_17,"[1, 1]"
language_18,"[1, 0]"
language_19,"[1, 0]"
language_20,"[1, 0]"
language_21,"[1, 0]"
language_22,"[1, 0]"
language_23,"[1, 0]"
language_26,"[0, 0]"
language_27,"[1, 0]"
language_28,"[1, 0]"
language_29,"[1, 0]"
language_30,"[1, 0]"
language_31,"[1, 0]"
language_33,"[0, 0]"
language_34,"[0, 0]"
language_35,"[1, 0]"
language_36,"[0, 0]"
language_37,"[1, 0]"
language_39,"[1, 0]"
language_41,"[1, 0]"
language_42,"[1, 0]"
language_43,"[0, 0]"
language_44,"[0, 0]"
language_45,"[0, 0]"
language_46,"[1, 1]"
language_48,"[1, 0]"
language_49,"[1, 1]"
language_50,"[0, 0]"
language_51,"[0, 0]"
language_52,"[1, 0]"
language_53,"[0, 0]"
language_54,"[0, 0]"
language_56,"[1, 1]"
language_57,"[1, 0]"
language_58,"[1, 0]"
language_59,"[1, 0]"
language_61,"[1, 0]"
language_62,"[0, 0]"
language_63,"[0, 0]"
language_64,"[1, 0]"
language_66,"[1, 0]"
language_69,"[1, 0]"
language_70,"[0, 0]"
language_71,"[1, 0]"
language_72,"[1, 0]"
language_73,"[1, 0]"
language_74,"[1, 0]"
language_75,"[1, 0]"
language_76,"[1, 0]"
language_77,"[0, 0]"
language_78,"[1, 0]"
language_79,"[1, 1]"
language_81,"[1, 0]"
language_83,"[1, 0]"
language_84,"[1, 0]"
language_86,"[1, 0]"
language_87,"[0, 0]"
language_90,"[0, 0]"
language_91,"[0, 0]"
language_92,"[0, 0]"
language_94,"[1, 0]"
language_95,"[1, 0]"
language_97,"[0, 0]"
language_98,"[0, 0]"
language_99,"[0, 1]"
language_100,"[1, 0]"
language_101,"[1, 0]"
language_103,"[1, 0]"
language_105,"[0, 0]"
language_106,"[1, 0]"
language_107,"[1, 0]"
language_109,"[1, 0]"
language_110,"[0, 1]"
language_111,"[0, 0]"
language_112,"[0, 0]"
language_114,"[0, 1]"
language_115,"[1, 0]"
language_116,"[1, 0]"
language_117,"[1, 0]"
language_118,"[0, 0]"
language_119,"[0, 0]"
language_120,"[1, 0]"
language_121,"[0, 0]"
language_122,"[0, 0]"
language_123,"[0, 0]"
language_124,"[1, 0]"
language_125,"[1, 0]"
language_126,"[0, 0]"
language_128,"[1, 0]"
language_131,"[1, 0]"
language_132,"[1, 1]"
language_133,"[1, 0]"
language_134,"[1, 0]"
language_138,"[1, 0]"
language_139,"[1, 0]"
language_140,"[1, 0]"
language_141,"[1, 0]"
language_143,"[1, 0]"
language_144,"[1, 0]"
language_145,"[1, 0]"
language_147,"[1, 0]"
language_148,"[1, 0]"
language_149,"[1, 0]"
language_150,"[0, 0]"
language_151,"[1, 0]"
language_152,"[1, 0]"
language_153,"[1, 0]"
language_154,"[1, 0]"
language_157,"[1, 1]"
language_159,"[0, 0]"
language_160,"[0, 0]"
language_161,"[0, 0]"
language_162,"[1, 0]"
language_163,"[0, 0]"
language_164,"[0, 0]"
language_165,"[1, 0]"
language_167,"[0, 0]"
language_168,"[0, 1]"
language_170,"[1, 0]"
language_171,"[1, 0]"
language_173,"[1, 0]"
language_175,"[1, 0]"
language_176,"[1, 0]"
language_177,"[0, 1]"
language_179,"[0, 0]"
language_181,"[1, 0]"
language_182,"[1, 0]"
language_183,"[1, 0]"
language_184,"[0, 0]"
language_187,"[0, 0]"
language_188,"[1, 0]"
language_189,"[0, 0]"
language_190,"[0, 0]"
language_191,"[1, 0]"
language_193,"[1, 0]"
language_194,"[0, 0]"
language_195,"[1, 0]"
language_196,"[1, 0]"
language_197,"[1, 0]"
language_198,"[0, 0]"
language_200,"[1, 0]"
language_201,"[1, 0]"
language_202,"[1, 0]"
language_203,"[1, 0]"
language_205,"[1, 1]"
language_206,"[1, 0]"
language_207,"[1, 0]"
language_208,"[0, 0]"
language_209,"[1, 0]"
language_210,"[0, 0]"
language_211,"[1, 0]"
language_212,"[1, 0]"
language_213,"[1, 0]"
language_214,"[1, 0]"
language_215,"[0, 0]"
language_216,"[1, 0]"
language_217,"[0, 0]"
language_218,"[1, 0]"
language_219,"[1, 1]"
language_220,"[1, 0]"
language_221,"[1, 0]"
language_222,"[1, 0]"
language_223,"[1, 0]"
language_225,"[1, 0]"
language_226,"[0, 0]"
language_227,"[1, 0]"
language_228,"[1, 1]"
language_229,"[0, 0]"
language_230,"[0, 0]"
language_231,"[0, 0]"
language_232,"[1, 0]"
language_233,"[1, 0]"
language_234,"[1, 0]"
language_236,"[0, 0]"
language_237,"[1, 0]"
language_238,"[0, 1]"
language_240,"[1, 0]"
language_241,"[1, 0]"
language_242,"[1, 0]"
language_243,"[1, 0]"
language_244,"[1, 0]"
language_245,"[0, 0]"
language_246,"[0, 0]"
language_247,"[1, 0]"
language_248,"[0, 1]"
language_249,"[0, 0]"
language_250,"[1, 0]"
language_251,"[0, 0]"
language_252,"[0, 0]"
language_253,"[1, 1]"
language_254,"[1, 0]"
language_255,"[1, 0]"
language_256,"[1, 0]"
language_257,"[1, 0]"
language_258,"[1, 0]"
language_259,"[1, 0]"
language_260,"[1, 0]"
language_261,"[1, 1]"
language_262,"[0, 0]"
language_263,"[1, 0]"
language_264,"[0, 0]"
language_265,"[0, 0]"
language_266,"[1, 0]"
language_267,"[1, 0]"
language_270,"[1, 0]"
language_271,"[0, 0]"
language_272,"[1, 0]"
language_273,"[0, 1]"
language_274,"[0, 0]"
language_275,"[0, 0]"
language_276,"[1, 1]"
language_278,"[0, 0]"
language_279,"[1, 0]"
language_281,"[1, 0]"
language_282,"[1, 0]"
language_284,"[1, 0]"
language_285,"[1, 0]"
language_287,"[1, 0]"
language_289,"[1, 0]"
language_290,"[0, 0]"
language_293,"[1, 0]"
language_294,"[0, 0]"
language_295,"[1, 0]"
language_296,"[1, 0]"
language_297,"[1, 0]"
language_298,"[0, 0]"
language_299,"[1, 0]"
language_300,"[1, 1]"
language_301,"[1, 0]"
language_302,"[1, 0]"
language_303,"[1, 0]"
language_304,"[0, 0]"
language_305,"[0, 0]"
