LANGUAGE,GENDER,SET
language_1,"[1, 1]",880
language_2,"[0, 1]",880
language_3,"[1, 1]",880
language_4,"[1, 0]",880
language_5,"[1, 1]",880
language_6,"[1, 1]",880
language_7,"[0, 1]",880
language_8,"[1, 1]",880
language_9,"[1, 1]",880
language_10,"[1, 1]",880
language_11,"[1, 1]",880
language_12,"[1, 1]",880
language_13,"[1, 1]",880
language_14,"[1, 1]",880
language_15,"[1, 0]",880
language_16,"[1, 1]",880
language_17,"[0, 1]",880
language_18,"[1, 1]",880
language_19,"[0, 1]",880
language_20,"[0, 1]",880
language_21,"[1, 1]",880
language_22,"[1, 1]",880
language_23,"[1, 1]",880
language_24,"[1, 1]",880
language_25,"[1, 1]",880
language_26,"[1, 1]",880
language_27,"[1, 1]",880
language_29,"[0, 0]",880
language_31,"[1, 1]",880
language_32,"[1, 0]",880
language_33,"[1, 1]",880
language_35,"[1, 1]",880
language_36,"[1, 1]",880
language_37,"[0, 0]",880
language_38,"[1, 1]",880
language_39,"[1, 1]",880
language_40,"[1, 1]",880
language_41,"[1, 1]",880
language_43,"[1, 1]",880
language_44,"[1, 1]",880
language_46,"[1, 1]",880
language_47,"[1, 1]",880
language_48,"[0, 1]",880
language_49,"[1, 1]",880
language_50,"[1, 1]",880
language_51,"[1, 1]",880
language_52,"[1, 1]",880
language_53,"[1, 1]",880
language_54,"[1, 1]",880
language_55,"[1, 1]",880
language_56,"[1, 1]",880
language_57,"[1, 1]",880
language_58,"[0, 1]",880
language_59,"[1, 1]",880
language_60,"[1, 1]",880
language_61,"[1, 1]",880
language_62,"[1, 1]",880
language_63,"[1, 1]",880
language_64,"[1, 1]",880
language_65,"[1, 1]",880
language_66,"[1, 1]",880
language_67,"[1, 1]",880
language_68,"[1, 1]",880
language_69,"[1, 1]",880
language_70,"[1, 1]",880
language_71,"[1, 1]",880
language_72,"[1, 1]",880
language_73,"[1, 1]",880
language_74,"[1, 1]",880
language_75,"[1, 1]",880
language_76,"[0, 1]",880
language_77,"[1, 1]",880
language_78,"[1, 1]",880
language_79,"[1, 1]",880
language_80,"[1, 1]",880
language_81,"[1, 1]",880
language_82,"[0, 1]",880
language_83,"[1, 1]",880
language_84,"[1, 1]",880
language_85,"[1, 1]",880
language_86,"[1, 1]",880
language_87,"[1, 1]",880
language_88,"[1, 0]",880
language_89,"[0, 1]",880
language_90,"[1, 1]",880
language_91,"[1, 1]",880
language_92,"[1, 0]",880
language_93,"[1, 1]",880
language_94,"[1, 1]",880
language_95,"[1, 0]",880
language_96,"[1, 1]",880
language_97,"[1, 1]",880
language_98,"[1, 1]",880
language_99,"[1, 1]",880
language_100,"[1, 1]",880
language_101,"[1, 1]",880
language_102,"[1, 1]",880
language_103,"[0, 1]",880
language_104,"[0, 1]",880
language_105,"[1, 1]",880
language_107,"[1, 1]",880
language_108,"[1, 1]",880
language_109,"[1, 1]",880
language_110,"[1, 1]",880
language_111,"[1, 1]",880
language_112,"[1, 1]",880
language_113,"[1, 1]",880
language_114,"[1, 1]",880
language_116,"[1, 1]",880
language_117,"[1, 1]",880
language_118,"[1, 1]",880
language_119,"[0, 1]",880
language_120,"[1, 1]",880
language_121,"[1, 1]",880
language_123,"[1, 1]",880
language_124,"[0, 1]",880
language_125,"[1, 1]",880
language_126,"[0, 1]",880
language_127,"[1, 1]",880
language_128,"[1, 1]",880
language_129,"[1, 1]",880
language_130,"[1, 1]",880
language_131,"[0, 1]",880
language_132,"[1, 1]",880
language_133,"[1, 1]",880
language_134,"[0, 1]",880
language_135,"[1, 1]",880
language_136,"[1, 1]",880
language_138,"[1, 1]",880
language_139,"[1, 1]",880
language_140,"[0, 1]",880
language_141,"[1, 1]",880
language_142,"[1, 1]",880
language_144,"[1, 1]",880
language_145,"[1, 1]",880
language_146,"[1, 1]",880
language_147,"[1, 1]",880
language_148,"[1, 1]",880
language_149,"[1, 1]",880
language_150,"[0, 1]",880
language_151,"[0, 1]",880
language_152,"[1, 1]",880
language_153,"[1, 1]",880
language_154,"[1, 1]",880
language_156,"[1, 1]",880
language_157,"[1, 1]",880
language_158,"[1, 1]",880
language_159,"[1, 1]",880
language_160,"[0, 1]",880
language_161,"[1, 1]",880
language_162,"[1, 1]",880
language_163,"[1, 1]",880
language_164,"[1, 0]",880
language_165,"[1, 1]",880
language_167,"[1, 1]",880
language_168,"[1, 1]",880
language_169,"[1, 1]",880
language_170,"[1, 1]",880
language_171,"[1, 1]",880
language_172,"[1, 1]",880
language_173,"[1, 1]",880
language_174,"[1, 1]",880
language_175,"[1, 1]",880
language_176,"[1, 1]",880
language_177,"[1, 1]",880
language_179,"[1, 1]",880
language_181,"[1, 1]",880
language_183,"[1, 1]",880
language_185,"[1, 1]",880
