LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_352,0.09090909090909091,1.0,352
frankenlanguage10.csv_352,0.13636363636363635,1.0,352
frankenlanguage100.csv_352,0.09090909090909091,1.0,352
frankenlanguage1000.csv_352,0.09090909090909091,1.0,352
frankenlanguage101.csv_352,1.0,1.0,352
frankenlanguage102.csv_352,0.09090909090909091,1.0,352
frankenlanguage103.csv_352,1.0,1.0,352
frankenlanguage104.csv_352,0.045454545454545456,1.0,352
frankenlanguage107.csv_352,1.0,1.0,352
frankenlanguage108.csv_352,1.0,1.0,352
frankenlanguage109.csv_352,0.09090909090909091,1.0,352
frankenlanguage11.csv_352,1.0,1.0,352
frankenlanguage110.csv_352,1.0,1.0,352
frankenlanguage111.csv_352,1.0,1.0,352
frankenlanguage112.csv_352,0.09090909090909091,1.0,352
frankenlanguage113.csv_352,0.5,1.0,352
frankenlanguage114.csv_352,1.0,1.0,352
frankenlanguage115.csv_352,0.5833333333333334,1.0,352
frankenlanguage116.csv_352,0.9545454545454546,1.0,352
frankenlanguage117.csv_352,1.0,1.0,352
frankenlanguage118.csv_352,0.045454545454545456,1.0,352
frankenlanguage119.csv_352,0.13636363636363635,1.0,352
frankenlanguage12.csv_352,1.0,1.0,352
frankenlanguage121.csv_352,0.2857142857142857,1.0,352
frankenlanguage122.csv_352,1.0,1.0,352
frankenlanguage123.csv_352,0.0,1.0,352
frankenlanguage124.csv_352,0.09090909090909091,1.0,352
frankenlanguage125.csv_352,1.0,1.0,352
frankenlanguage127.csv_352,0.9545454545454546,1.0,352
frankenlanguage128.csv_352,0.09090909090909091,1.0,352
frankenlanguage129.csv_352,0.13636363636363635,1.0,352
frankenlanguage130.csv_352,0.0,1.0,352
frankenlanguage131.csv_352,0.09090909090909091,1.0,352
frankenlanguage132.csv_352,1.0,1.0,352
frankenlanguage133.csv_352,1.0,1.0,352
frankenlanguage134.csv_352,0.045454545454545456,1.0,352
frankenlanguage135.csv_352,1.0,1.0,352
frankenlanguage136.csv_352,0.09090909090909091,1.0,352
frankenlanguage137.csv_352,0.0,1.0,352
frankenlanguage138.csv_352,0.09090909090909091,1.0,352
frankenlanguage139.csv_352,0.09090909090909091,1.0,352
frankenlanguage14.csv_352,0.045454545454545456,1.0,352
frankenlanguage140.csv_352,1.0,1.0,352
frankenlanguage141.csv_352,0.09090909090909091,1.0,352
frankenlanguage142.csv_352,0.5833333333333334,1.0,352
frankenlanguage143.csv_352,1.0,1.0,352
frankenlanguage144.csv_352,0.09090909090909091,1.0,352
frankenlanguage145.csv_352,1.0,1.0,352
frankenlanguage146.csv_352,0.09090909090909091,1.0,352
frankenlanguage147.csv_352,1.0,1.0,352
frankenlanguage148.csv_352,0.09090909090909091,1.0,352
frankenlanguage15.csv_352,0.5833333333333334,0.5,352
frankenlanguage150.csv_352,0.5833333333333334,1.0,352
frankenlanguage151.csv_352,1.0,1.0,352
frankenlanguage153.csv_352,1.0,1.0,352
frankenlanguage156.csv_352,0.09090909090909091,1.0,352
frankenlanguage157.csv_352,0.5833333333333334,1.0,352
frankenlanguage158.csv_352,0.09090909090909091,1.0,352
frankenlanguage160.csv_352,1.0,1.0,352
frankenlanguage161.csv_352,0.09090909090909091,1.0,352
frankenlanguage162.csv_352,0.2857142857142857,1.0,352
frankenlanguage163.csv_352,1.0,1.0,352
frankenlanguage164.csv_352,0.0,1.0,352
frankenlanguage165.csv_352,0.09090909090909091,1.0,352
frankenlanguage166.csv_352,0.9545454545454546,1.0,352
frankenlanguage167.csv_352,1.0,1.0,352
frankenlanguage168.csv_352,1.0,1.0,352
frankenlanguage169.csv_352,0.5,1.0,352
frankenlanguage17.csv_352,0.09090909090909091,1.0,352
frankenlanguage170.csv_352,0.5,1.0,352
frankenlanguage172.csv_352,0.9545454545454546,1.0,352
frankenlanguage176.csv_352,0.09090909090909091,1.0,352
frankenlanguage177.csv_352,0.09090909090909091,1.0,352
frankenlanguage178.csv_352,0.09090909090909091,1.0,352
frankenlanguage179.csv_352,0.09090909090909091,1.0,352
frankenlanguage18.csv_352,1.0,1.0,352
frankenlanguage180.csv_352,0.5833333333333334,1.0,352
frankenlanguage181.csv_352,0.09090909090909091,1.0,352
frankenlanguage183.csv_352,0.09090909090909091,1.0,352
frankenlanguage185.csv_352,0.9545454545454546,1.0,352
frankenlanguage186.csv_352,1.0,1.0,352
frankenlanguage187.csv_352,0.5,1.0,352
frankenlanguage188.csv_352,0.5,1.0,352
frankenlanguage189.csv_352,0.09090909090909091,0.5,352
frankenlanguage19.csv_352,0.5,1.0,352
frankenlanguage190.csv_352,0.09090909090909091,1.0,352
frankenlanguage191.csv_352,0.5,1.0,352
frankenlanguage192.csv_352,0.2857142857142857,1.0,352
frankenlanguage193.csv_352,0.5833333333333334,1.0,352
frankenlanguage194.csv_352,0.5833333333333334,1.0,352
frankenlanguage196.csv_352,0.5,1.0,352
frankenlanguage197.csv_352,0.2857142857142857,1.0,352
frankenlanguage198.csv_352,1.0,1.0,352
frankenlanguage2.csv_352,0.13636363636363635,1.0,352
frankenlanguage20.csv_352,0.13636363636363635,1.0,352
frankenlanguage200.csv_352,1.0,1.0,352
frankenlanguage201.csv_352,1.0,1.0,352
frankenlanguage202.csv_352,0.09090909090909091,1.0,352
frankenlanguage203.csv_352,0.5,1.0,352
frankenlanguage204.csv_352,1.0,1.0,352
frankenlanguage205.csv_352,0.045454545454545456,1.0,352
frankenlanguage206.csv_352,0.13636363636363635,1.0,352
frankenlanguage208.csv_352,0.0,1.0,352
frankenlanguage209.csv_352,0.09090909090909091,1.0,352
frankenlanguage21.csv_352,0.09090909090909091,1.0,352
frankenlanguage210.csv_352,0.09090909090909091,1.0,352
frankenlanguage212.csv_352,0.5833333333333334,1.0,352
frankenlanguage213.csv_352,1.0,1.0,352
frankenlanguage215.csv_352,0.13636363636363635,1.0,352
frankenlanguage216.csv_352,1.0,1.0,352
frankenlanguage217.csv_352,0.09090909090909091,1.0,352
frankenlanguage219.csv_352,1.0,1.0,352
frankenlanguage220.csv_352,0.09090909090909091,1.0,352
frankenlanguage221.csv_352,1.0,1.0,352
frankenlanguage222.csv_352,0.09090909090909091,1.0,352
frankenlanguage223.csv_352,1.0,1.0,352
frankenlanguage224.csv_352,0.5,0.5,352
frankenlanguage225.csv_352,0.5833333333333334,1.0,352
frankenlanguage226.csv_352,0.0,1.0,352
frankenlanguage227.csv_352,0.13636363636363635,1.0,352
frankenlanguage228.csv_352,0.5833333333333334,1.0,352
frankenlanguage229.csv_352,0.09090909090909091,1.0,352
frankenlanguage23.csv_352,1.0,1.0,352
frankenlanguage230.csv_352,0.09090909090909091,1.0,352
frankenlanguage231.csv_352,1.0,1.0,352
frankenlanguage232.csv_352,0.09090909090909091,1.0,352
frankenlanguage234.csv_352,1.0,1.0,352
frankenlanguage236.csv_352,0.09090909090909091,1.0,352
frankenlanguage238.csv_352,0.09090909090909091,1.0,352
frankenlanguage239.csv_352,0.5,1.0,352
frankenlanguage24.csv_352,0.5,1.0,352
frankenlanguage240.csv_352,1.0,1.0,352
frankenlanguage241.csv_352,0.09090909090909091,1.0,352
frankenlanguage242.csv_352,1.0,1.0,352
frankenlanguage243.csv_352,0.045454545454545456,1.0,352
frankenlanguage244.csv_352,1.0,1.0,352
frankenlanguage245.csv_352,0.0,1.0,352
frankenlanguage247.csv_352,1.0,1.0,352
frankenlanguage248.csv_352,0.09090909090909091,1.0,352
frankenlanguage249.csv_352,1.0,1.0,352
frankenlanguage25.csv_352,0.09090909090909091,1.0,352
frankenlanguage250.csv_352,0.9545454545454546,1.0,352
frankenlanguage252.csv_352,1.0,1.0,352
frankenlanguage253.csv_352,0.5833333333333334,1.0,352
frankenlanguage254.csv_352,1.0,1.0,352
frankenlanguage255.csv_352,0.09090909090909091,1.0,352
frankenlanguage256.csv_352,0.5,1.0,352
frankenlanguage258.csv_352,0.09090909090909091,1.0,352
frankenlanguage259.csv_352,0.13636363636363635,1.0,352
frankenlanguage26.csv_352,1.0,1.0,352
frankenlanguage261.csv_352,0.09090909090909091,1.0,352
frankenlanguage262.csv_352,1.0,1.0,352
frankenlanguage263.csv_352,0.09090909090909091,1.0,352
frankenlanguage264.csv_352,0.9545454545454546,1.0,352
frankenlanguage266.csv_352,1.0,1.0,352
frankenlanguage267.csv_352,0.9545454545454546,1.0,352
frankenlanguage269.csv_352,1.0,1.0,352
frankenlanguage27.csv_352,1.0,1.0,352
frankenlanguage270.csv_352,1.0,1.0,352
frankenlanguage271.csv_352,1.0,1.0,352
