LANGUAGE,LINEAGE,SET
language_1,"[1, 0]",20
language_4,"[1, 1]",20
language_5,"[0, 0]",20
language_6,"[1, 0]",20
language_7,"[0, 1]",20
language_9,"[0, 1]",20
language_14,"[0, 1]",20
language_16,"[1, 1]",20
language_17,"[0, 0]",20
language_18,"[1, 1]",20
language_19,"[0, 0]",20
language_20,"[0, 1]",20
language_21,"[0, 1]",20
language_22,"[0, 1]",20
language_23,"[0, 1]",20
language_26,"[0, 0]",20
language_27,"[1, 1]",20
language_28,"[0, 1]",20
language_29,"[0, 1]",20
language_32,"[0, 1]",20
language_33,"[1, 0]",20
language_36,"[0, 1]",20
language_37,"[1, 1]",20
language_38,"[0, 1]",20
language_42,"[0, 1]",20
language_44,"[0, 0]",20
language_45,"[0, 1]",20
language_46,"[1, 1]",20
language_47,"[1, 1]",20
language_48,"[0, 1]",20
language_50,"[1, 0]",20
language_51,"[0, 1]",20
language_52,"[1, 1]",20
language_53,"[0, 1]",20
language_54,"[0, 1]",20
language_55,"[0, 0]",20
language_56,"[0, 1]",20
language_57,"[0, 1]",20
language_59,"[1, 1]",20
language_62,"[0, 0]",20
language_63,"[0, 0]",20
language_64,"[0, 1]",20
language_67,"[0, 0]",20
language_69,"[0, 1]",20
language_70,"[0, 1]",20
language_71,"[0, 0]",20
language_72,"[1, 1]",20
language_73,"[1, 1]",20
language_74,"[1, 1]",20
language_75,"[0, 1]",20
language_76,"[0, 1]",20
language_78,"[1, 1]",20
language_80,"[0, 0]",20
language_82,"[0, 1]",20
language_83,"[0, 0]",20
language_86,"[1, 1]",20
language_87,"[1, 0]",20
language_89,"[0, 1]",20
language_90,"[0, 1]",20
language_91,"[0, 1]",20
language_92,"[0, 0]",20
language_93,"[0, 1]",20
language_94,"[0, 1]",20
language_96,"[0, 1]",20
language_97,"[1, 1]",20
language_100,"[0, 0]",20
language_102,"[0, 1]",20
language_104,"[1, 0]",20
language_105,"[1, 1]",20
language_106,"[0, 0]",20
language_107,"[0, 0]",20
language_108,"[0, 1]",20
language_113,"[0, 1]",20
language_114,"[0, 1]",20
language_115,"[0, 1]",20
language_118,"[1, 1]",20
language_119,"[0, 1]",20
language_120,"[0, 1]",20
language_121,"[1, 0]",20
language_123,"[1, 1]",20
language_124,"[0, 0]",20
language_126,"[1, 1]",20
language_127,"[1, 1]",20
language_128,"[1, 0]",20
language_130,"[0, 1]",20
language_131,"[0, 1]",20
language_133,"[0, 1]",20
language_136,"[0, 1]",20
language_138,"[0, 1]",20
language_139,"[0, 1]",20
language_140,"[1, 1]",20
language_141,"[0, 1]",20
language_142,"[0, 1]",20
language_143,"[0, 1]",20
language_144,"[1, 1]",20
language_145,"[0, 0]",20
language_146,"[1, 0]",20
language_147,"[1, 1]",20
language_148,"[0, 1]",20
language_149,"[1, 1]",20
language_150,"[0, 1]",20
language_151,"[1, 1]",20
language_152,"[0, 1]",20
language_153,"[1, 0]",20
language_156,"[0, 1]",20
language_158,"[0, 1]",20
language_159,"[1, 1]",20
language_160,"[0, 0]",20
language_163,"[0, 1]",20
language_164,"[0, 0]",20
language_167,"[1, 1]",20
language_168,"[0, 1]",20
language_170,"[0, 1]",20
language_172,"[0, 1]",20
language_174,"[0, 0]",20
language_175,"[0, 0]",20
language_176,"[1, 1]",20
language_178,"[0, 0]",20
language_179,"[1, 1]",20
language_180,"[0, 1]",20
language_182,"[1, 1]",20
language_183,"[0, 1]",20
language_184,"[1, 1]",20
language_185,"[1, 1]",20
language_186,"[0, 1]",20
language_188,"[1, 1]",20
language_191,"[0, 1]",20
language_193,"[1, 1]",20
language_194,"[0, 1]",20
language_195,"[0, 0]",20
language_197,"[0, 1]",20
language_199,"[0, 0]",20
language_201,"[0, 1]",20
language_203,"[0, 1]",20
language_204,"[0, 1]",20
language_207,"[0, 1]",20
language_209,"[1, 1]",20
language_212,"[1, 1]",20
language_213,"[0, 0]",20
language_214,"[0, 1]",20
language_215,"[0, 1]",20
language_216,"[1, 1]",20
language_218,"[0, 1]",20
language_219,"[0, 1]",20
language_221,"[0, 1]",20
language_223,"[0, 1]",20
language_227,"[0, 1]",20
language_229,"[0, 1]",20
language_231,"[1, 1]",20
language_232,"[1, 1]",20
language_234,"[0, 1]",20
language_235,"[0, 0]",20
language_237,"[0, 0]",20
language_238,"[0, 1]",20
language_239,"[1, 0]",20
language_241,"[0, 1]",20
language_242,"[0, 1]",20
language_246,"[0, 1]",20
language_247,"[0, 1]",20
language_249,"[0, 1]",20
language_251,"[1, 0]",20
language_253,"[1, 1]",20
language_254,"[0, 1]",20
language_255,"[0, 1]",20
language_256,"[1, 1]",20
language_258,"[0, 1]",20
language_259,"[0, 1]",20
language_260,"[0, 1]",20
language_261,"[0, 1]",20
language_262,"[0, 1]",20
language_265,"[0, 1]",20
language_266,"[0, 0]",20
language_267,"[0, 1]",20
language_268,"[0, 1]",20
language_269,"[0, 1]",20
language_270,"[1, 1]",20
language_272,"[1, 0]",20
language_273,"[0, 1]",20
language_274,"[0, 1]",20
language_277,"[0, 1]",20
language_278,"[1, 1]",20
language_282,"[0, 1]",20
language_283,"[1, 0]",20
language_284,"[0, 1]",20
language_285,"[0, 1]",20
language_286,"[0, 1]",20
language_287,"[0, 1]",20
language_288,"[0, 0]",20
language_289,"[0, 1]",20
language_291,"[0, 1]",20
language_292,"[1, 0]",20
language_293,"[0, 1]",20
language_295,"[0, 1]",20
language_299,"[1, 1]",20
language_300,"[1, 0]",20
language_304,"[1, 1]",20
language_306,"[1, 1]",20
language_307,"[1, 1]",20
language_308,"[0, 0]",20
language_311,"[0, 0]",20
language_313,"[0, 1]",20
language_314,"[0, 1]",20
language_315,"[0, 1]",20
language_320,"[0, 1]",20
language_322,"[1, 1]",20
language_323,"[1, 1]",20
language_324,"[1, 1]",20
language_326,"[1, 0]",20
language_327,"[1, 1]",20
language_330,"[0, 1]",20
language_331,"[0, 1]",20
language_337,"[0, 1]",20
language_338,"[0, 0]",20
language_339,"[0, 1]",20
language_341,"[0, 1]",20
language_344,"[1, 0]",20
language_346,"[0, 1]",20
language_347,"[0, 1]",20
language_349,"[0, 1]",20
language_350,"[0, 1]",20
language_351,"[0, 1]",20
language_354,"[0, 1]",20
language_355,"[0, 1]",20
language_356,"[0, 0]",20
language_359,"[0, 1]",20
language_360,"[0, 1]",20
language_361,"[0, 0]",20
language_362,"[0, 1]",20
language_363,"[1, 1]",20
language_365,"[0, 1]",20
language_367,"[0, 1]",20
language_368,"[0, 1]",20
language_369,"[0, 1]",20
language_370,"[1, 1]",20
language_371,"[0, 1]",20
language_372,"[0, 1]",20
language_373,"[0, 1]",20
language_374,"[1, 0]",20
language_375,"[1, 1]",20
language_376,"[1, 1]",20
language_378,"[0, 1]",20
language_379,"[0, 1]",20
language_380,"[0, 1]",20
language_382,"[0, 1]",20
language_383,"[1, 1]",20
language_384,"[1, 1]",20
language_386,"[0, 1]",20
language_387,"[0, 0]",20
language_388,"[1, 1]",20
language_389,"[1, 1]",20
language_390,"[0, 1]",20
language_391,"[0, 1]",20
language_393,"[1, 1]",20
language_394,"[1, 1]",20
language_396,"[1, 0]",20
language_398,"[0, 1]",20
language_401,"[0, 1]",20
language_402,"[1, 1]",20
language_403,"[0, 1]",20
language_404,"[1, 1]",20
language_407,"[0, 1]",20
language_409,"[0, 1]",20
language_412,"[0, 1]",20
language_413,"[0, 1]",20
language_414,"[1, 1]",20
language_416,"[0, 1]",20
language_417,"[0, 1]",20
language_418,"[0, 1]",20
language_419,"[0, 1]",20
language_420,"[0, 1]",20
language_421,"[0, 0]",20
language_422,"[0, 1]",20
language_425,"[0, 1]",20
language_427,"[1, 1]",20
language_428,"[0, 1]",20
language_429,"[0, 1]",20
language_430,"[1, 1]",20
language_431,"[0, 1]",20
language_434,"[0, 1]",20
language_436,"[1, 1]",20
language_437,"[0, 1]",20
language_438,"[0, 1]",20
language_439,"[0, 1]",20
language_444,"[1, 1]",20
language_446,"[0, 1]",20
language_447,"[1, 0]",20
language_448,"[0, 0]",20
language_449,"[0, 1]",20
language_452,"[1, 0]",20
language_453,"[0, 1]",20
language_454,"[0, 1]",20
language_455,"[0, 1]",20
language_456,"[0, 1]",20
language_457,"[0, 1]",20
language_458,"[0, 1]",20
language_459,"[0, 0]",20
language_462,"[0, 0]",20
language_463,"[0, 1]",20
language_465,"[1, 1]",20
language_466,"[1, 1]",20
language_467,"[0, 0]",20
language_469,"[0, 0]",20
language_471,"[0, 0]",20
language_472,"[0, 1]",20
language_478,"[0, 0]",20
language_480,"[1, 0]",20
language_481,"[0, 1]",20
language_482,"[0, 1]",20
language_485,"[0, 1]",20
language_486,"[0, 0]",20
language_487,"[0, 1]",20
language_488,"[0, 1]",20
language_490,"[0, 0]",20
language_492,"[0, 1]",20
language_493,"[0, 1]",20
language_494,"[0, 1]",20
language_496,"[1, 1]",20
language_498,"[1, 1]",20
language_499,"[0, 1]",20
language_501,"[0, 1]",20
language_503,"[0, 1]",20
language_504,"[1, 1]",20
language_506,"[1, 1]",20
language_507,"[0, 1]",20
language_509,"[0, 1]",20
language_510,"[1, 0]",20
language_511,"[1, 1]",20
language_512,"[0, 1]",20
language_513,"[0, 1]",20
language_514,"[0, 1]",20
language_515,"[1, 1]",20
language_516,"[0, 1]",20
language_517,"[0, 1]",20
language_518,"[0, 0]",20
language_522,"[1, 1]",20
language_524,"[1, 1]",20
language_525,"[0, 1]",20
language_529,"[0, 1]",20
language_530,"[0, 1]",20
language_533,"[1, 1]",20
language_534,"[0, 1]",20
language_535,"[1, 1]",20
language_536,"[0, 1]",20
language_538,"[1, 1]",20
language_539,"[0, 1]",20
language_542,"[0, 1]",20
language_543,"[0, 1]",20
language_544,"[0, 1]",20
language_545,"[0, 1]",20
language_547,"[0, 1]",20
