LANGUAGE,LINEAGE
language_1,"[0, 1]"
language_2,"[0, 1]"
language_3,"[0, 0]"
language_4,"[0, 0]"
language_5,"[0, 1]"
language_6,"[0, 1]"
language_7,"[1, 1]"
language_10,"[0, 1]"
language_11,"[1, 1]"
language_12,"[0, 0]"
language_14,"[0, 0]"
language_15,"[0, 1]"
language_16,"[1, 1]"
language_17,"[1, 0]"
language_19,"[0, 0]"
language_23,"[0, 1]"
language_25,"[1, 0]"
language_27,"[0, 1]"
language_28,"[0, 1]"
language_31,"[0, 1]"
language_32,"[0, 0]"
language_33,"[0, 1]"
language_35,"[1, 0]"
language_36,"[0, 0]"
language_38,"[1, 1]"
language_39,"[0, 1]"
language_40,"[1, 1]"
language_41,"[0, 1]"
language_42,"[0, 1]"
language_43,"[0, 1]"
language_44,"[0, 1]"
language_46,"[1, 1]"
language_47,"[0, 1]"
language_48,"[0, 0]"
language_49,"[1, 1]"
language_50,"[0, 0]"
language_53,"[0, 1]"
language_56,"[1, 1]"
language_57,"[0, 1]"
language_59,"[1, 0]"
language_62,"[0, 1]"
language_67,"[0, 1]"
language_70,"[1, 1]"
language_71,"[0, 1]"
language_72,"[0, 0]"
language_73,"[0, 1]"
language_74,"[0, 1]"
language_75,"[0, 0]"
language_77,"[0, 1]"
language_78,"[1, 0]"
language_79,"[0, 1]"
language_81,"[0, 1]"
language_83,"[0, 1]"
language_84,"[0, 1]"
language_85,"[0, 1]"
language_86,"[0, 0]"
language_88,"[1, 0]"
language_89,"[1, 0]"
language_90,"[1, 0]"
language_91,"[0, 1]"
language_92,"[0, 1]"
language_93,"[0, 1]"
language_94,"[1, 1]"
language_96,"[0, 1]"
language_97,"[0, 0]"
language_100,"[0, 1]"
language_101,"[0, 1]"
language_102,"[1, 1]"
language_103,"[0, 0]"
language_106,"[0, 1]"
language_107,"[0, 1]"
language_108,"[0, 1]"
language_109,"[1, 0]"
language_111,"[0, 1]"
language_113,"[0, 1]"
language_114,"[0, 1]"
language_116,"[0, 1]"
language_119,"[0, 0]"
language_121,"[0, 1]"
language_122,"[0, 1]"
language_123,"[1, 1]"
language_124,"[0, 1]"
language_125,"[0, 1]"
language_126,"[1, 1]"
language_127,"[0, 1]"
language_129,"[1, 1]"
language_130,"[0, 1]"
language_131,"[1, 0]"
language_134,"[0, 0]"
language_135,"[0, 0]"
language_136,"[0, 1]"
language_137,"[0, 1]"
language_139,"[1, 0]"
language_140,"[1, 1]"
language_141,"[0, 1]"
language_144,"[0, 1]"
language_149,"[0, 1]"
