LANGUAGE,SCORE,mMBS,mMeBS,mMyBS,mMZS,mMeZS,mMyZS,mFBS,mFeBS,mFyBS,mFZS,mFeZS,mFyBS,mMB,mMeB,mMyB,mMZ,mMeZ,mMyZ,mFB,mFeB,mFyB,mFZ,mFeZ,mFyZ
Bit,0.25,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ sâi,meʔ sâi,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,meʔ mɨih,meʔ mɨih
O_du,0.5,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,tâj kɛ̂:n,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,lă:,ʔă:w,ʔă:w,ʔă:w,lă:,lă:,lă:
Prai,0.5,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,luŋ,luŋ,luŋ,pa:,pa:,pa:,luŋ,luŋ,luŋ,pa:,pa:,pa:
Manange,0.3333333333333333,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,ànolʌtsʌ,na,àʃaŋ,àʃaŋ,na,àmthepʌ,ànje,na,aptjʌpʌ,laku,na,na,na
Amharic,0.9166666666666666,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-akest lej,yä-aggot lej,yä-aggot lej,yä-aggot lej,yä-akest lej,yä-akest lej,yä-aggot lej,aggot,aggot,aggot,akest,akest,akest,aggot,aggot,aggot,akest,akest,akest
Hausa,0.25,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,taubashi,kawu,kawu,kawu,ìnnā,ìnnā,ìnnā,Bappā,baffa,baffa,gwaggo,baba,baba
Lebanese_Arabic,0.5, ابن الخال,بنت العم,بنت العم, ابن الخال,بنت العم,بنت العم,إبن العم,إبن العم,إبن العم,إبن العم,إبن العم,إبن العم,na,خال,خال,na,خالة,خالة,na,عم,عم,na,عمة,عمة
Old_Aramaic,0.5,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χālā,χālā,χālā,na,na,na,dādā,dādā,dādā,na,na,na
Polci,0.5,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,waas,kawo,kawo,kawo,kawo,kawo,kawo,baaba,baaba,baaba,wobna,wobna,wobna
Albanian,0.25,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,ungj,ungj,ungj,teze,teze,teze,xhaxha,xhaxha,xhaxha,emtë,emtë,emtë
