LANGUAGE,GEN_0,GEN_1,SET
Adnyamathanha,0.3333333333333333,0.5,Pama-Nyungan
Alyawarr,0.6,0.0,Pama-Nyungan
Arabana,0.3333333333333333,0.0,Pama-Nyungan
Arabana_,0.6,0.0,Pama-Nyungan
Badimaya,1.0,0.0,Pama-Nyungan
Bandjalang,0.2,0.0,Pama-Nyungan
Biri,0.25,0.0,Pama-Nyungan
Bunganditj,0.2,0.25,Pama-Nyungan
Dharumbal,1.0,0.0,Pama-Nyungan
Dharumbal_,1.0,0.0,Pama-Nyungan
Dhuwal-Dhuwala_(Yolngu),0.125,0.0,Pama-Nyungan
Dhuwal,0.1111111111111111,0.0,Pama-Nyungan
Diyari,0.25,0.0,Pama-Nyungan
Diyari_,0.1,0.0,Pama-Nyungan
Djambarrpuyngu,0.3333333333333333,0.0,Pama-Nyungan
Djapu,0.5,0.0,Pama-Nyungan
Djinang,0.16666666666666666,0.0,Pama-Nyungan
Djinang_,0.16666666666666666,0.0,Pama-Nyungan
Duungidjawu,0.6666666666666666,0.0,Pama-Nyungan
Dyirbal,0.3333333333333333,1.0,Pama-Nyungan
Gumatj,0.2857142857142857,0.0,Pama-Nyungan
Gumbaynggir,0.25,0.0,Pama-Nyungan
Gunya,1.0,0.0,Pama-Nyungan
Gupapuyngu,0.2222222222222222,0.25,Pama-Nyungan
Gurindji,0.3333333333333333,0.0,Pama-Nyungan
Guugu_Yimidhirr,0.3333333333333333,1.0,Pama-Nyungan
Guugu_Yimidhirr_,1.0,1.0,Pama-Nyungan
Jaru,0.125,0.0,Pama-Nyungan
Kala_Lagaw_Ya,0.0,0.0,Pama-Nyungan
Kalkatungu,0.2,0.0,Pama-Nyungan
Karajarri,0.8571428571428571,0.0,Pama-Nyungan
Kariyarra,0.2,0.0,Pama-Nyungan
Kartujarra,0.25,0.0,Pama-Nyungan
Kaurna,0.2,0.0,Pama-Nyungan
Kukatja,0.2,0.25,Pama-Nyungan
Kuku-Yalanji,0.2,0.0,Pama-Nyungan
KukuYalanji,0.3333333333333333,0.5,Pama-Nyungan
Kunjen,0.5,0.0,Pama-Nyungan
Kuuku_Ya'u,1.0,1.0,Pama-Nyungan
Malgana,1.0,0.0,Pama-Nyungan
Margany,1.0,0.0,Pama-Nyungan
MartuWangka,0.2,0.0,Pama-Nyungan
Mudburra,0.3333333333333333,0.0,Pama-Nyungan
Muruwari,0.4,0.25,Pama-Nyungan
Ngaanyatjarra,0.3333333333333333,0.25,Pama-Nyungan
Ngaatjatjarra,0.2,0.0,Pama-Nyungan
Ngadjumaya,1.0,0.0,Pama-Nyungan
Ngarinyman,0.3333333333333333,0.0,Pama-Nyungan
Ngarluma,1.0,0.0,Pama-Nyungan
Ngarrindjeri,0.3333333333333333,0.0,Pama-Nyungan
Ngiyambaa,0.2,0.0,Pama-Nyungan
Nhanta,0.1,0.0,Pama-Nyungan
Nyamal,0.3333333333333333,0.0,Pama-Nyungan
Nyangumarta,0.3333333333333333,0.0,Pama-Nyungan
Nyawaygi,1.0,0.0,Pama-Nyungan
Paakantyi,0.3333333333333333,0.5,Pama-Nyungan
Payungu,0.3333333333333333,0.0,Pama-Nyungan
PintupiLuritja,0.3333333333333333,0.0,Pama-Nyungan
Pitjantjatjara,0.5,0.5,Pama-Nyungan
Pitta_Pitta,0.1,0.0,Pama-Nyungan
Ritharrngu,0.25,0.0,Pama-Nyungan
Thayore_(Kuuk_Thaayorre),0.3333333333333333,0.5,Pama-Nyungan
Umpila,0.25,1.0,Pama-Nyungan
Uradhi_(Atampaya),1.0,0.5,Pama-Nyungan
Wajarri,0.6666666666666666,0.0,Pama-Nyungan
Wakaya,0.3333333333333333,0.0,Pama-Nyungan
Wangkajunga,0.2,0.0,Pama-Nyungan
Wangkangurru,0.3333333333333333,0.0,Pama-Nyungan
Wangkangurru_,0.6,0.0,Pama-Nyungan
Wangkumara,1.0,0.0,Pama-Nyungan
Warlmanpa,0.3333333333333333,0.0,Pama-Nyungan
Warlpiri,0.2,0.0,Pama-Nyungan
Warlpiri_,1.0,0.0,Pama-Nyungan
Warnman,0.3333333333333333,0.0,Pama-Nyungan
Warrnambool,0.6,0.0,Pama-Nyungan
Warumungu,0.3333333333333333,0.0,Pama-Nyungan
Warungu,1.0,0.0,Pama-Nyungan
Wathwurrung,1.0,0.0,Pama-Nyungan
WikMungkan,0.5,1.0,Pama-Nyungan
Wiradjuri,0.2,0.0,Pama-Nyungan
Wirangu,0.25,0.0,Pama-Nyungan
Woiwurrung,1.0,0.0,Pama-Nyungan
Wulguru,0.1,0.0,Pama-Nyungan
Yadhaykenu,1.0,1.0,Pama-Nyungan
Yalarnnga,0.2,0.0,Pama-Nyungan
Yalarnnga_,0.2,0.0,Pama-Nyungan
Yandruwandha,0.3333333333333333,0.0,Pama-Nyungan
Yandruwandha_,0.6,0.0,Pama-Nyungan
Yanyuwa,0.3333333333333333,0.25,Pama-Nyungan
Yarluyandi,0.3333333333333333,0.5,Pama-Nyungan
Yidiny,0.16666666666666666,0.0,Pama-Nyungan
Yidiny_,0.3,0.0,Pama-Nyungan
Yindjibarndi,0.3333333333333333,0.5,Pama-Nyungan
Yir-Yoront,0.5,0.5,Pama-Nyungan
Yorta_Yorta,1.0,0.0,Pama-Nyungan
Yugambal_(Yugambeh),0.1,0.0,Pama-Nyungan
Yugambeh,0.2,0.0,Pama-Nyungan
Yulparija,0.3333333333333333,0.0,Pama-Nyungan
Yuwaalaraay,0.2857142857142857,0.0,Pama-Nyungan
