LANGUAGE,GEN_0,GEN_1,SET
Burmese,1.0,1.0,Sino-Tibetan
Chepang,1.0,1.0,Sino-Tibetan
Dzonghka_Lhop,1.0,0.0,Sino-Tibetan
Dzonghka_Sha,1.0,0.0,Sino-Tibetan
Dzonghka_Wang,1.0,0.0,Sino-Tibetan
Lisu_,1.0,0.5,Sino-Tibetan
Lisu_,1.0,0.5,Sino-Tibetan
Lisu_,1.0,0.5,Sino-Tibetan
Lisu_,1.0,0.5,Sino-Tibetan
Manange,0.1111111111111111,0.6666666666666666,Sino-Tibetan
Burmese,1.0,1.0,Sino-Tibetan
Chinese,0.4,0.75,Sino-Tibetan
Karen_(Pwo_dialect),0.3,0.0,Sino-Tibetan
Karen_(Sgau_dialect),0.2,0.0,Sino-Tibetan
Karen,0.3,0.0,Sino-Tibetan
Prakaa,1.0,1.0,Sino-Tibetan
Sangtam_Naga,0.4,0.5,Sino-Tibetan
Sherpa,1.0,0.5,Sino-Tibetan
Suzhou,1.0,1.0,Sino-Tibetan
Suzhou,1.0,0.6666666666666666,Sino-Tibetan
