LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_456,1.0,0.75,456
frankenlanguage100.csv_456,0.5,0.25,456
frankenlanguage1000.csv_456,0.5,0.5,456
frankenlanguage101.csv_456,0.2,0.0,456
frankenlanguage102.csv_456,0.2,0.0,456
frankenlanguage104.csv_456,0.0,0.75,456
frankenlanguage105.csv_456,0.0,0.0,456
frankenlanguage106.csv_456,0.1,0.25,456
frankenlanguage107.csv_456,0.2857142857142857,0.5,456
frankenlanguage108.csv_456,0.2,0.0,456
frankenlanguage109.csv_456,0.1111111111111111,0.0,456
frankenlanguage11.csv_456,0.2,0.25,456
frankenlanguage110.csv_456,0.0,0.0,456
frankenlanguage111.csv_456,1.0,0.0,456
frankenlanguage112.csv_456,0.0,0.0,456
frankenlanguage113.csv_456,0.2,0.6666666666666666,456
frankenlanguage116.csv_456,0.1,0.0,456
frankenlanguage117.csv_456,0.2,0.0,456
frankenlanguage118.csv_456,0.2,0.0,456
frankenlanguage119.csv_456,1.0,0.0,456
frankenlanguage12.csv_456,0.2,0.0,456
frankenlanguage120.csv_456,0.0,0.0,456
frankenlanguage121.csv_456,0.2,0.0,456
frankenlanguage123.csv_456,0.0,0.0,456
frankenlanguage125.csv_456,0.2857142857142857,0.6666666666666666,456
frankenlanguage128.csv_456,1.0,0.0,456
frankenlanguage129.csv_456,1.0,0.0,456
frankenlanguage13.csv_456,0.1,0.0,456
frankenlanguage130.csv_456,0.0,0.0,456
frankenlanguage131.csv_456,0.0,0.0,456
frankenlanguage134.csv_456,1.0,0.0,456
frankenlanguage135.csv_456,0.5,0.0,456
frankenlanguage136.csv_456,0.5,0.0,456
frankenlanguage137.csv_456,1.0,0.0,456
frankenlanguage138.csv_456,0.0,0.75,456
frankenlanguage140.csv_456,0.2,0.0,456
frankenlanguage141.csv_456,0.2,0.75,456
frankenlanguage142.csv_456,1.0,0.0,456
frankenlanguage144.csv_456,0.2,0.0,456
frankenlanguage145.csv_456,0.0,0.0,456
frankenlanguage146.csv_456,1.0,0.0,456
frankenlanguage148.csv_456,0.0,0.0,456
frankenlanguage149.csv_456,1.0,0.0,456
frankenlanguage15.csv_456,0.0,0.0,456
frankenlanguage150.csv_456,0.2,0.0,456
frankenlanguage151.csv_456,1.0,0.5,456
frankenlanguage152.csv_456,0.5,0.75,456
frankenlanguage153.csv_456,0.2857142857142857,0.25,456
frankenlanguage154.csv_456,0.0,0.0,456
frankenlanguage155.csv_456,0.5,0.0,456
frankenlanguage156.csv_456,0.2,0.0,456
frankenlanguage16.csv_456,0.2,0.0,456
frankenlanguage161.csv_456,0.2857142857142857,0.0,456
frankenlanguage162.csv_456,0.2,0.0,456
frankenlanguage163.csv_456,0.2,0.0,456
frankenlanguage164.csv_456,0.2,0.25,456
frankenlanguage166.csv_456,1.0,0.6666666666666666,456
frankenlanguage167.csv_456,0.0,0.0,456
frankenlanguage169.csv_456,0.2,0.0,456
frankenlanguage17.csv_456,0.0,0.5,456
frankenlanguage172.csv_456,0.2,0.75,456
frankenlanguage174.csv_456,0.0,0.0,456
frankenlanguage175.csv_456,0.1,0.0,456
frankenlanguage177.csv_456,0.2,0.0,456
frankenlanguage179.csv_456,0.1,0.0,456
frankenlanguage18.csv_456,0.2,0.0,456
frankenlanguage180.csv_456,0.0,0.0,456
frankenlanguage181.csv_456,0.2,0.25,456
