LANGUAGE,AGE,SET
language_1,"[0, 0]",849
language_3,"[1, 1]",849
language_4,"[1, 1]",849
language_5,"[1, 0]",849
language_6,"[1, 0]",849
language_7,"[0, 0]",849
language_8,"[1, 0]",849
language_9,"[0, 0]",849
language_10,"[1, 0]",849
language_11,"[1, 0]",849
language_12,"[1, 0]",849
language_15,"[0, 0]",849
language_16,"[1, 0]",849
language_17,"[1, 0]",849
language_18,"[1, 0]",849
language_21,"[1, 0]",849
language_22,"[1, 0]",849
language_23,"[1, 0]",849
language_24,"[1, 0]",849
language_25,"[1, 0]",849
language_27,"[1, 0]",849
language_28,"[0, 0]",849
language_29,"[0, 0]",849
language_30,"[1, 0]",849
language_31,"[0, 0]",849
language_32,"[1, 1]",849
language_33,"[1, 0]",849
language_35,"[0, 0]",849
language_36,"[1, 0]",849
language_38,"[1, 0]",849
language_39,"[1, 0]",849
language_40,"[1, 0]",849
language_41,"[0, 0]",849
language_43,"[1, 0]",849
language_44,"[1, 0]",849
language_45,"[1, 0]",849
language_46,"[1, 0]",849
language_47,"[1, 0]",849
language_49,"[0, 0]",849
language_50,"[1, 0]",849
language_52,"[1, 0]",849
language_53,"[0, 0]",849
language_54,"[0, 0]",849
language_55,"[1, 0]",849
language_56,"[1, 0]",849
language_57,"[0, 1]",849
language_59,"[1, 0]",849
language_60,"[0, 0]",849
language_61,"[1, 0]",849
language_62,"[0, 0]",849
language_63,"[0, 0]",849
language_64,"[0, 0]",849
language_65,"[1, 0]",849
language_68,"[1, 0]",849
language_69,"[1, 0]",849
language_71,"[1, 0]",849
language_72,"[1, 0]",849
language_74,"[1, 0]",849
language_75,"[1, 0]",849
language_76,"[0, 0]",849
language_77,"[1, 0]",849
language_78,"[1, 0]",849
language_79,"[1, 0]",849
language_80,"[0, 0]",849
language_82,"[1, 0]",849
language_83,"[1, 0]",849
language_84,"[1, 1]",849
language_86,"[1, 1]",849
language_88,"[0, 0]",849
language_89,"[1, 0]",849
language_91,"[1, 0]",849
language_92,"[1, 0]",849
language_93,"[1, 0]",849
language_95,"[1, 0]",849
language_97,"[1, 1]",849
language_98,"[1, 0]",849
language_99,"[1, 0]",849
language_100,"[1, 0]",849
language_102,"[1, 0]",849
language_103,"[0, 0]",849
language_104,"[1, 1]",849
language_105,"[1, 1]",849
language_106,"[0, 0]",849
language_107,"[1, 0]",849
language_108,"[0, 0]",849
language_109,"[1, 0]",849
language_110,"[1, 0]",849
language_111,"[1, 0]",849
language_112,"[1, 0]",849
language_113,"[0, 0]",849
language_114,"[0, 0]",849
language_115,"[1, 0]",849
language_117,"[1, 0]",849
language_118,"[0, 1]",849
language_119,"[1, 0]",849
language_121,"[0, 0]",849
language_122,"[1, 0]",849
language_123,"[1, 0]",849
language_124,"[0, 0]",849
language_127,"[0, 0]",849
language_128,"[0, 1]",849
language_129,"[1, 0]",849
language_130,"[1, 0]",849
language_131,"[0, 0]",849
language_132,"[1, 0]",849
language_133,"[1, 0]",849
language_134,"[0, 0]",849
language_135,"[0, 0]",849
language_138,"[1, 0]",849
language_139,"[1, 0]",849
language_143,"[0, 0]",849
language_144,"[1, 0]",849
language_145,"[1, 0]",849
language_146,"[0, 0]",849
language_147,"[0, 0]",849
language_148,"[1, 1]",849
language_149,"[1, 0]",849
language_150,"[1, 0]",849
language_151,"[1, 0]",849
language_152,"[1, 0]",849
language_153,"[1, 0]",849
language_154,"[0, 1]",849
language_155,"[1, 0]",849
language_156,"[1, 0]",849
language_157,"[1, 0]",849
language_158,"[0, 0]",849
language_159,"[1, 0]",849
language_161,"[1, 0]",849
language_162,"[0, 0]",849
language_163,"[0, 0]",849
language_164,"[1, 0]",849
language_165,"[0, 0]",849
language_166,"[0, 0]",849
language_167,"[1, 0]",849
language_168,"[1, 0]",849
language_170,"[1, 0]",849
language_171,"[1, 1]",849
language_172,"[1, 1]",849
language_173,"[1, 0]",849
language_174,"[1, 0]",849
language_175,"[1, 1]",849
language_178,"[1, 1]",849
language_179,"[0, 1]",849
language_180,"[0, 0]",849
language_182,"[0, 0]",849
language_185,"[1, 1]",849
language_186,"[1, 0]",849
language_187,"[1, 0]",849
language_188,"[1, 0]",849
language_189,"[1, 0]",849
language_191,"[1, 0]",849
language_192,"[1, 0]",849
language_194,"[0, 0]",849
language_195,"[1, 0]",849
language_196,"[0, 1]",849
language_197,"[0, 0]",849
language_198,"[0, 0]",849
language_199,"[1, 1]",849
language_200,"[1, 0]",849
language_201,"[0, 0]",849
language_202,"[1, 0]",849
language_203,"[1, 0]",849
language_204,"[0, 0]",849
language_205,"[1, 0]",849
language_206,"[1, 0]",849
language_208,"[1, 0]",849
language_209,"[1, 1]",849
language_210,"[1, 0]",849
language_211,"[1, 0]",849
language_212,"[0, 0]",849
language_213,"[1, 0]",849
language_214,"[0, 0]",849
language_216,"[1, 0]",849
language_217,"[1, 0]",849
language_218,"[1, 0]",849
language_219,"[0, 0]",849
language_220,"[1, 0]",849
language_221,"[1, 0]",849
language_222,"[0, 1]",849
language_223,"[1, 0]",849
language_224,"[1, 0]",849
language_225,"[0, 0]",849
language_226,"[1, 0]",849
language_227,"[0, 0]",849
language_228,"[0, 0]",849
language_229,"[0, 1]",849
language_230,"[1, 0]",849
language_231,"[1, 0]",849
language_232,"[1, 0]",849
language_233,"[1, 1]",849
language_235,"[1, 0]",849
language_237,"[1, 0]",849
language_238,"[1, 0]",849
language_239,"[0, 0]",849
language_240,"[0, 0]",849
language_241,"[1, 0]",849
language_242,"[0, 0]",849
language_244,"[0, 0]",849
language_245,"[1, 0]",849
language_246,"[1, 0]",849
language_247,"[1, 0]",849
language_248,"[1, 0]",849
language_249,"[1, 0]",849
language_250,"[0, 0]",849
language_251,"[1, 0]",849
language_252,"[1, 0]",849
language_253,"[1, 0]",849
language_254,"[1, 0]",849
language_256,"[1, 1]",849
language_257,"[0, 0]",849
language_259,"[1, 1]",849
language_260,"[1, 0]",849
language_262,"[1, 0]",849
language_263,"[1, 0]",849
language_264,"[1, 0]",849
language_265,"[0, 0]",849
language_266,"[1, 0]",849
language_268,"[1, 0]",849
language_270,"[1, 0]",849
language_271,"[0, 0]",849
language_272,"[0, 0]",849
language_274,"[1, 0]",849
language_276,"[1, 0]",849
language_277,"[0, 0]",849
language_278,"[1, 0]",849
language_281,"[1, 0]",849
language_282,"[0, 0]",849
language_283,"[1, 0]",849
language_284,"[1, 0]",849
language_286,"[0, 1]",849
language_287,"[1, 0]",849
language_288,"[1, 0]",849
language_289,"[0, 0]",849
language_291,"[0, 1]",849
language_292,"[1, 0]",849
language_293,"[1, 0]",849
language_294,"[1, 0]",849
language_296,"[1, 0]",849
language_298,"[1, 0]",849
language_300,"[0, 0]",849
language_301,"[1, 0]",849
language_302,"[0, 0]",849
language_303,"[0, 0]",849
language_304,"[0, 0]",849
language_305,"[0, 0]",849
language_306,"[1, 0]",849
language_307,"[0, 0]",849
language_309,"[1, 1]",849
language_310,"[1, 1]",849
language_311,"[1, 0]",849
language_312,"[0, 0]",849
language_313,"[1, 0]",849
language_314,"[1, 0]",849
language_315,"[0, 0]",849
language_317,"[1, 0]",849
language_319,"[0, 0]",849
language_320,"[1, 0]",849
language_321,"[1, 0]",849
language_322,"[1, 0]",849
language_323,"[1, 1]",849
language_324,"[1, 0]",849
language_325,"[0, 0]",849
language_326,"[0, 0]",849
language_327,"[1, 0]",849
language_328,"[1, 0]",849
language_329,"[1, 0]",849
language_331,"[1, 0]",849
language_332,"[0, 0]",849
language_333,"[0, 0]",849
language_334,"[0, 0]",849
language_336,"[1, 1]",849
language_338,"[1, 0]",849
language_339,"[0, 0]",849
language_340,"[1, 1]",849
language_341,"[0, 0]",849
language_342,"[1, 0]",849
language_344,"[0, 0]",849
language_345,"[0, 0]",849
language_346,"[1, 0]",849
language_347,"[1, 0]",849
language_348,"[0, 0]",849
language_349,"[1, 0]",849
language_351,"[1, 1]",849
language_352,"[1, 0]",849
language_354,"[0, 0]",849
language_355,"[1, 0]",849
language_356,"[1, 0]",849
language_357,"[0, 0]",849
language_358,"[1, 0]",849
language_360,"[1, 0]",849
language_361,"[0, 0]",849
language_362,"[0, 0]",849
language_363,"[1, 0]",849
language_364,"[0, 0]",849
language_365,"[1, 0]",849
language_366,"[1, 0]",849
language_367,"[1, 0]",849
language_368,"[0, 0]",849
language_369,"[0, 0]",849
language_370,"[0, 0]",849
language_372,"[0, 0]",849
language_373,"[0, 0]",849
language_375,"[1, 0]",849
language_376,"[1, 0]",849
language_377,"[0, 0]",849
language_378,"[1, 0]",849
language_379,"[1, 0]",849
language_380,"[1, 0]",849
language_381,"[1, 0]",849
language_383,"[0, 0]",849
language_384,"[1, 0]",849
language_385,"[0, 0]",849
language_386,"[1, 0]",849
language_387,"[0, 0]",849
language_388,"[1, 1]",849
language_389,"[1, 0]",849
language_390,"[0, 0]",849
language_392,"[0, 0]",849
language_393,"[0, 0]",849
language_394,"[0, 0]",849
language_395,"[1, 0]",849
language_396,"[1, 0]",849
language_397,"[0, 1]",849
language_400,"[1, 0]",849
language_401,"[1, 1]",849
language_402,"[1, 0]",849
language_403,"[0, 0]",849
language_404,"[1, 0]",849
language_405,"[1, 0]",849
language_406,"[1, 0]",849
language_407,"[0, 0]",849
language_408,"[0, 1]",849
language_409,"[1, 0]",849
language_410,"[0, 0]",849
language_412,"[1, 0]",849
language_413,"[1, 0]",849
language_414,"[1, 0]",849
language_415,"[1, 0]",849
language_416,"[1, 1]",849
language_417,"[1, 0]",849
language_418,"[1, 0]",849
language_419,"[1, 0]",849
language_420,"[1, 1]",849
language_422,"[1, 0]",849
language_423,"[1, 0]",849
language_424,"[1, 0]",849
language_425,"[1, 1]",849
language_426,"[1, 1]",849
language_427,"[0, 0]",849
language_429,"[1, 0]",849
language_430,"[0, 0]",849
language_431,"[0, 0]",849
language_432,"[1, 0]",849
language_435,"[1, 0]",849
language_436,"[0, 0]",849
language_438,"[0, 0]",849
language_439,"[0, 1]",849
language_440,"[0, 0]",849
language_441,"[1, 0]",849
language_442,"[1, 1]",849
language_443,"[0, 0]",849
language_444,"[1, 0]",849
language_445,"[1, 0]",849
language_447,"[1, 1]",849
language_448,"[1, 0]",849
language_449,"[1, 0]",849
language_450,"[1, 0]",849
language_451,"[1, 0]",849
language_452,"[1, 0]",849
language_453,"[0, 0]",849
language_454,"[0, 0]",849
language_455,"[1, 0]",849
language_456,"[1, 0]",849
language_457,"[0, 0]",849
language_459,"[1, 1]",849
language_460,"[1, 0]",849
language_461,"[0, 0]",849
language_462,"[1, 0]",849
