LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_224,0.09090909090909091,1.0,224
frankenlanguage10.csv_224,0.045454545454545456,0.5,224
frankenlanguage100.csv_224,0.5,1.0,224
frankenlanguage1000.csv_224,0.0,1.0,224
frankenlanguage101.csv_224,0.13636363636363635,1.0,224
frankenlanguage102.csv_224,0.09090909090909091,1.0,224
frankenlanguage104.csv_224,0.09090909090909091,1.0,224
frankenlanguage105.csv_224,1.0,1.0,224
frankenlanguage106.csv_224,1.0,1.0,224
frankenlanguage107.csv_224,0.0,1.0,224
frankenlanguage108.csv_224,0.0,1.0,224
frankenlanguage109.csv_224,1.0,1.0,224
frankenlanguage11.csv_224,1.0,1.0,224
frankenlanguage110.csv_224,0.09090909090909091,1.0,224
frankenlanguage111.csv_224,0.09090909090909091,1.0,224
frankenlanguage112.csv_224,0.09090909090909091,1.0,224
frankenlanguage113.csv_224,0.13636363636363635,1.0,224
frankenlanguage114.csv_224,0.13636363636363635,1.0,224
frankenlanguage115.csv_224,0.5833333333333334,1.0,224
frankenlanguage116.csv_224,1.0,1.0,224
frankenlanguage117.csv_224,0.13636363636363635,1.0,224
frankenlanguage118.csv_224,0.09090909090909091,1.0,224
frankenlanguage119.csv_224,1.0,1.0,224
frankenlanguage12.csv_224,0.5,1.0,224
frankenlanguage121.csv_224,0.5833333333333334,1.0,224
frankenlanguage122.csv_224,1.0,1.0,224
frankenlanguage125.csv_224,0.9545454545454546,1.0,224
frankenlanguage127.csv_224,0.045454545454545456,1.0,224
frankenlanguage129.csv_224,0.045454545454545456,1.0,224
frankenlanguage13.csv_224,1.0,1.0,224
frankenlanguage130.csv_224,0.5,1.0,224
frankenlanguage132.csv_224,1.0,1.0,224
frankenlanguage135.csv_224,1.0,0.5,224
frankenlanguage136.csv_224,0.5833333333333334,1.0,224
frankenlanguage137.csv_224,1.0,1.0,224
frankenlanguage138.csv_224,0.09090909090909091,0.5,224
frankenlanguage139.csv_224,1.0,1.0,224
frankenlanguage14.csv_224,1.0,1.0,224
frankenlanguage140.csv_224,0.9545454545454546,1.0,224
frankenlanguage141.csv_224,0.0,1.0,224
frankenlanguage142.csv_224,0.09090909090909091,1.0,224
frankenlanguage143.csv_224,0.09090909090909091,1.0,224
frankenlanguage144.csv_224,1.0,1.0,224
frankenlanguage146.csv_224,1.0,1.0,224
frankenlanguage147.csv_224,0.045454545454545456,1.0,224
frankenlanguage148.csv_224,0.09090909090909091,1.0,224
frankenlanguage149.csv_224,0.09090909090909091,1.0,224
frankenlanguage15.csv_224,1.0,1.0,224
frankenlanguage150.csv_224,0.09090909090909091,1.0,224
frankenlanguage152.csv_224,0.09090909090909091,1.0,224
