LANGUAGE,GENDER,SET
language_1,"[1, 1]",350
language_2,"[1, 1]",350
language_3,"[1, 1]",350
language_4,"[1, 1]",350
language_5,"[1, 1]",350
language_6,"[1, 1]",350
language_7,"[1, 1]",350
language_8,"[1, 1]",350
language_9,"[1, 1]",350
language_10,"[1, 1]",350
language_11,"[1, 1]",350
language_12,"[1, 1]",350
language_14,"[1, 1]",350
language_15,"[1, 1]",350
language_17,"[1, 0]",350
language_18,"[1, 1]",350
language_19,"[1, 1]",350
language_20,"[1, 1]",350
language_21,"[1, 1]",350
language_22,"[1, 0]",350
language_23,"[1, 1]",350
language_24,"[1, 1]",350
language_25,"[1, 0]",350
language_26,"[1, 1]",350
language_27,"[1, 0]",350
language_28,"[1, 1]",350
language_29,"[0, 1]",350
language_30,"[1, 1]",350
language_31,"[1, 1]",350
language_32,"[1, 1]",350
language_33,"[1, 1]",350
language_34,"[1, 1]",350
language_35,"[1, 1]",350
language_36,"[1, 1]",350
language_37,"[1, 1]",350
language_38,"[1, 1]",350
language_39,"[1, 1]",350
language_40,"[1, 1]",350
language_41,"[1, 1]",350
language_42,"[0, 1]",350
language_43,"[1, 1]",350
language_44,"[1, 1]",350
language_46,"[1, 1]",350
language_47,"[1, 1]",350
language_48,"[1, 1]",350
language_49,"[1, 0]",350
language_50,"[0, 1]",350
language_51,"[1, 1]",350
language_52,"[1, 1]",350
language_53,"[1, 1]",350
language_55,"[1, 1]",350
language_56,"[1, 1]",350
language_57,"[1, 1]",350
language_58,"[1, 1]",350
language_59,"[1, 1]",350
language_60,"[1, 1]",350
language_61,"[1, 1]",350
language_62,"[1, 1]",350
language_63,"[1, 1]",350
language_64,"[1, 1]",350
language_65,"[1, 1]",350
language_66,"[1, 1]",350
language_68,"[1, 1]",350
language_69,"[1, 0]",350
language_70,"[0, 1]",350
language_71,"[1, 1]",350
language_72,"[1, 1]",350
language_73,"[1, 1]",350
language_74,"[1, 1]",350
language_75,"[1, 1]",350
language_76,"[1, 0]",350
language_78,"[1, 1]",350
language_79,"[1, 1]",350
language_80,"[1, 1]",350
language_81,"[0, 1]",350
language_82,"[1, 1]",350
language_83,"[1, 1]",350
language_84,"[1, 1]",350
language_85,"[1, 1]",350
language_86,"[1, 1]",350
language_87,"[1, 1]",350
language_88,"[1, 1]",350
language_89,"[1, 1]",350
