LANGUAGE,GEN_0,GEN_1,SET
Alyawarr,1.0,1.0,Pama-Nyungan
Bandjalang,0.75,1.0,Pama-Nyungan
Biri,1.0,0.0,Pama-Nyungan
Bunganditj,1.0,1.0,Pama-Nyungan
Dhuwal-Dhuwala_(Yolngu),1.0,1.0,Pama-Nyungan
Diyari,1.0,1.0,Pama-Nyungan
Diyari_,1.0,1.0,Pama-Nyungan
Djapu,0.5,1.0,Pama-Nyungan
Gumatj,1.0,1.0,Pama-Nyungan
Gumbaynggir,1.0,1.0,Pama-Nyungan
Gupapuyngu,1.0,1.0,Pama-Nyungan
Jaru,1.0,1.0,Pama-Nyungan
Kala_Lagaw_Ya,0.0,1.0,Pama-Nyungan
Kalkatungu,1.0,1.0,Pama-Nyungan
Karajarri,1.0,1.0,Pama-Nyungan
Kariyarra,1.0,1.0,Pama-Nyungan
Kartujarra,1.0,1.0,Pama-Nyungan
Kaurna,1.0,0.0,Pama-Nyungan
Kukatja,0.0,1.0,Pama-Nyungan
Kuku-Yalanji,1.0,1.0,Pama-Nyungan
MartuWangka,1.0,1.0,Pama-Nyungan
Ngaatjatjarra,0.0,0.0,Pama-Nyungan
Ngiyambaa,0.0,0.0,Pama-Nyungan
Nhanta,1.0,1.0,Pama-Nyungan
Pitta_Pitta,1.0,1.0,Pama-Nyungan
Ritharrngu,1.0,1.0,Pama-Nyungan
Wangkajunga,0.0,0.5,Pama-Nyungan
Warlpiri,0.75,0.5,Pama-Nyungan
Warnman,0.0,0.0,Pama-Nyungan
Warrnambool,1.0,1.0,Pama-Nyungan
Wiradjuri,0.0,0.0,Pama-Nyungan
Wirangu,1.0,1.0,Pama-Nyungan
Wulguru,0.0,0.5,Pama-Nyungan
Yalarnnga,0.0,0.0,Pama-Nyungan
Yalarnnga_,0.0,1.0,Pama-Nyungan
Yandruwandha_,1.0,1.0,Pama-Nyungan
Yidiny_,1.0,1.0,Pama-Nyungan
Yugambal_(Yugambeh),1.0,1.0,Pama-Nyungan
Yugambeh,0.0,0.5,Pama-Nyungan
Yuwaalaraay,1.0,0.5,Pama-Nyungan
