LANGUAGE,GEN_0,GEN_1,SET
Ache╠ü,0.0,0.5,Tupian
Arawete╠ü,1.0,1.0,Tupian
Aweti╠ü,0.5,1.0,Tupian
Chiriguano,0.0,1.0,Tupian
Cinta_Larga,0.3333333333333333,1.0,Tupian
Cocama_Cocamilla,0.0,0.0,Tupian
Guaja╠ü,1.0,1.0,Tupian
Juru╠üna,1.0,1.0,Tupian
Kaiwa╠ü,1.0,1.0,Tupian
Kamayura╠ü,0.5,1.0,Tupian
Kayabi╠ü,0.0,1.0,Tupian
Mbya╠ü_Guarani╠ü,0.5,1.0,Tupian
Munduruku╠ü,0.5,1.0,Tupian
Paraguayan_Guarani╠ü,0.0,0.5,Tupian
Parakana╠â,1.0,1.0,Tupian
Pauserna,0.0,0.5,Tupian
Siriono╠ü,1.0,1.0,Tupian
Surui╠ü,0.0,1.0,Tupian
Tapirape╠ü,0.5,1.0,Tupian
Tembe╠ü,0.5,1.0,Tupian
Tenharim,1.0,1.0,Tupian
Tocantins_Asurini,1.0,1.0,Tupian
Tupinamba╠ü,0.0,1.0,Tupian
Tupi╠ü,0.25,1.0,Tupian
