LANGUAGE,GEN_0,GEN_1,SET
Bit,0.0,1.0,kinbank
O_du,0.0,0.0,kinbank
Prai,0.0,0.0,kinbank
Chepang,1.0,0.25,kinbank
Dzonghka_Lhop,1.0,1.0,kinbank
Dzonghka_Sha,1.0,1.0,kinbank
Dzonghka_Wang,1.0,1.0,kinbank
Lisu_,1.0,1.0,kinbank
Lisu_,1.0,1.0,kinbank
Lisu_,1.0,1.0,kinbank
Lisu_,1.0,1.0,kinbank
Manange,0.0,1.0,kinbank
Burmese,1.0,0.75,kinbank
Chinese,1.0,1.0,kinbank
Karen_(Pwo_dialect),0.0,0.0,kinbank
Karen_(Sgau_dialect),0.0,0.5,kinbank
Karen,0.5,0.0,kinbank
Sangtam_Naga,0.5,0.5,kinbank
Suzhou,1.0,1.0,kinbank
Suzhou,1.0,1.0,kinbank
Amharic,0.0,0.0,kinbank
Hausa,0.0,1.0,kinbank
Lebanese_Arabic,1.0,1.0,kinbank
Old_Aramaic,0.0,1.0,kinbank
Polci,0.0,1.0,kinbank
Albanian,0.0,1.0,kinbank
Albanian_Tosk_,0.0,1.0,kinbank
Ancient_Greek,0.0,0.0,kinbank
Armenian,1.0,1.0,kinbank
Assamese,1.0,1.0,kinbank
Balochi,0.5,1.0,kinbank
Belarusian,0.0,0.0,kinbank
Bengali,1.0,1.0,kinbank
Boers,0.0,0.0,kinbank
Breton,0.0,0.0,kinbank
Bulgarian,0.0,1.0,kinbank
Central_Kurdish,0.5,0.5,kinbank
Chavacano,0.0,0.0,kinbank
Czech,0.0,0.0,kinbank
Danish,0.0,1.0,kinbank
Dari,1.0,1.0,kinbank
Dutch,0.0,0.0,kinbank
Eastern_Armenian,0.0,1.0,kinbank
Eastern_Yiddish,0.0,1.0,kinbank
English,0.0,0.0,kinbank
Frisian,0.0,0.0,kinbank
German,0.0,0.0,kinbank
Gujarati,1.0,1.0,kinbank
Hindi,1.0,1.0,kinbank
Icelandic,0.0,1.0,kinbank
Irish,0.0,1.0,kinbank
Italian,0.0,0.0,kinbank
Jamaican_Creole,0.0,1.0,kinbank
Judeo_Tat,0.0,1.0,kinbank
Kashmiri,1.0,1.0,kinbank
Kriol_Roper_River,0.5,1.0,kinbank
Kristang_(Malacca_Creole_Portugese),0.0,0.0,kinbank
Kumaoni,0.0,1.0,kinbank
Lahnda,1.0,1.0,kinbank
