LANGUAGE,GEN_0,GEN_1,SET
frankenlanguage1.csv_3,0.0,1.0,3
frankenlanguage10.csv_3,0.0,1.0,3
frankenlanguage102.csv_3,1.0,1.0,3
frankenlanguage103.csv_3,0.0,1.0,3
frankenlanguage104.csv_3,0.0,0.0,3
frankenlanguage106.csv_3,0.0,0.5,3
frankenlanguage107.csv_3,0.0,1.0,3
frankenlanguage108.csv_3,1.0,1.0,3
frankenlanguage110.csv_3,1.0,1.0,3
frankenlanguage111.csv_3,0.0,1.0,3
frankenlanguage112.csv_3,0.0,1.0,3
frankenlanguage113.csv_3,0.0,0.5,3
frankenlanguage114.csv_3,0.0,0.0,3
frankenlanguage116.csv_3,0.0,1.0,3
frankenlanguage117.csv_3,0.0,1.0,3
frankenlanguage118.csv_3,1.0,0.0,3
frankenlanguage12.csv_3,0.0,1.0,3
frankenlanguage120.csv_3,1.0,0.0,3
frankenlanguage121.csv_3,1.0,0.0,3
frankenlanguage123.csv_3,0.0,1.0,3
frankenlanguage125.csv_3,0.25,0.0,3
frankenlanguage129.csv_3,0.0,1.0,3
frankenlanguage13.csv_3,0.0,1.0,3
frankenlanguage130.csv_3,1.0,1.0,3
frankenlanguage133.csv_3,1.0,1.0,3
frankenlanguage135.csv_3,0.0,1.0,3
frankenlanguage137.csv_3,0.0,1.0,3
frankenlanguage138.csv_3,1.0,0.0,3
frankenlanguage139.csv_3,1.0,1.0,3
frankenlanguage140.csv_3,0.0,1.0,3
frankenlanguage141.csv_3,0.0,1.0,3
frankenlanguage142.csv_3,1.0,1.0,3
frankenlanguage144.csv_3,0.0,1.0,3
frankenlanguage145.csv_3,0.0,1.0,3
frankenlanguage146.csv_3,0.0,1.0,3
frankenlanguage147.csv_3,1.0,1.0,3
frankenlanguage148.csv_3,0.0,0.0,3
frankenlanguage149.csv_3,1.0,1.0,3
frankenlanguage15.csv_3,0.0,0.0,3
frankenlanguage151.csv_3,0.0,0.0,3
frankenlanguage152.csv_3,1.0,1.0,3
frankenlanguage154.csv_3,1.0,1.0,3
frankenlanguage155.csv_3,0.0,1.0,3
frankenlanguage156.csv_3,0.0,0.0,3
frankenlanguage157.csv_3,1.0,1.0,3
frankenlanguage160.csv_3,0.25,1.0,3
frankenlanguage162.csv_3,0.0,1.0,3
frankenlanguage163.csv_3,0.0,1.0,3
frankenlanguage164.csv_3,0.0,0.0,3
frankenlanguage166.csv_3,0.0,0.5,3
frankenlanguage169.csv_3,0.0,0.0,3
frankenlanguage17.csv_3,0.0,1.0,3
frankenlanguage172.csv_3,0.0,1.0,3
frankenlanguage173.csv_3,0.25,1.0,3
frankenlanguage174.csv_3,0.0,0.5,3
frankenlanguage175.csv_3,0.0,1.0,3
frankenlanguage176.csv_3,0.0,0.5,3
frankenlanguage178.csv_3,0.0,1.0,3
frankenlanguage179.csv_3,0.0,1.0,3
frankenlanguage180.csv_3,1.0,1.0,3
frankenlanguage183.csv_3,0.0,1.0,3
frankenlanguage184.csv_3,0.0,1.0,3
frankenlanguage185.csv_3,0.0,1.0,3
frankenlanguage19.csv_3,1.0,0.5,3
frankenlanguage190.csv_3,0.0,1.0,3
frankenlanguage191.csv_3,0.0,1.0,3
frankenlanguage193.csv_3,0.0,0.5,3
frankenlanguage196.csv_3,0.0,0.5,3
frankenlanguage198.csv_3,1.0,1.0,3
frankenlanguage199.csv_3,0.0,1.0,3
frankenlanguage2.csv_3,0.0,0.5,3
frankenlanguage20.csv_3,1.0,1.0,3
frankenlanguage201.csv_3,1.0,1.0,3
frankenlanguage202.csv_3,0.0,0.0,3
frankenlanguage203.csv_3,1.0,0.0,3
frankenlanguage204.csv_3,1.0,1.0,3
frankenlanguage205.csv_3,1.0,1.0,3
frankenlanguage212.csv_3,0.0,0.0,3
frankenlanguage214.csv_3,1.0,1.0,3
frankenlanguage215.csv_3,0.0,1.0,3
frankenlanguage216.csv_3,1.0,1.0,3
frankenlanguage217.csv_3,1.0,1.0,3
frankenlanguage219.csv_3,0.0,1.0,3
frankenlanguage22.csv_3,1.0,0.0,3
frankenlanguage220.csv_3,1.0,1.0,3
frankenlanguage221.csv_3,0.0,0.0,3
frankenlanguage222.csv_3,1.0,0.5,3
frankenlanguage223.csv_3,0.0,1.0,3
frankenlanguage224.csv_3,0.0,1.0,3
