LANGUAGE,LINEAGE,SET
language_1,"[0, 1]",436
language_2,"[1, 1]",436
language_4,"[0, 1]",436
language_6,"[1, 1]",436
language_7,"[0, 1]",436
language_10,"[0, 1]",436
language_11,"[0, 1]",436
language_12,"[0, 1]",436
language_16,"[0, 1]",436
language_18,"[1, 1]",436
language_19,"[1, 1]",436
language_24,"[1, 1]",436
language_25,"[1, 0]",436
language_26,"[0, 1]",436
language_27,"[0, 1]",436
language_29,"[1, 0]",436
language_30,"[0, 1]",436
language_32,"[0, 1]",436
language_34,"[1, 1]",436
language_35,"[1, 0]",436
language_36,"[0, 1]",436
language_37,"[0, 1]",436
language_38,"[0, 0]",436
language_39,"[1, 1]",436
language_41,"[1, 1]",436
language_42,"[1, 0]",436
language_43,"[0, 1]",436
language_45,"[0, 1]",436
language_46,"[0, 1]",436
language_47,"[0, 1]",436
language_48,"[0, 1]",436
language_49,"[0, 1]",436
language_51,"[0, 1]",436
language_53,"[0, 1]",436
language_54,"[0, 1]",436
language_56,"[1, 1]",436
language_57,"[1, 1]",436
language_59,"[0, 1]",436
language_60,"[1, 1]",436
language_64,"[0, 1]",436
language_65,"[0, 0]",436
language_67,"[0, 1]",436
language_68,"[0, 1]",436
language_69,"[0, 1]",436
language_70,"[0, 1]",436
language_71,"[0, 1]",436
language_72,"[0, 1]",436
language_73,"[0, 1]",436
language_74,"[0, 1]",436
language_77,"[0, 0]",436
language_78,"[0, 1]",436
language_80,"[0, 1]",436
language_81,"[1, 1]",436
language_84,"[0, 1]",436
language_85,"[0, 1]",436
language_86,"[0, 1]",436
language_87,"[0, 1]",436
language_88,"[0, 1]",436
language_90,"[0, 1]",436
language_91,"[1, 1]",436
language_93,"[0, 1]",436
language_96,"[0, 0]",436
language_98,"[0, 0]",436
language_99,"[0, 1]",436
language_100,"[0, 1]",436
language_102,"[0, 0]",436
language_107,"[0, 1]",436
language_108,"[1, 1]",436
language_109,"[0, 1]",436
language_111,"[0, 1]",436
language_113,"[1, 0]",436
language_115,"[0, 1]",436
language_116,"[0, 1]",436
language_117,"[0, 1]",436
language_118,"[0, 1]",436
language_119,"[0, 1]",436
language_120,"[0, 0]",436
language_121,"[0, 1]",436
language_123,"[0, 1]",436
language_127,"[1, 1]",436
language_129,"[1, 0]",436
language_131,"[0, 1]",436
language_132,"[0, 0]",436
language_133,"[0, 1]",436
language_134,"[0, 1]",436
language_138,"[0, 1]",436
language_139,"[1, 0]",436
language_140,"[0, 1]",436
language_141,"[1, 0]",436
language_144,"[1, 1]",436
language_145,"[0, 1]",436
language_147,"[1, 0]",436
language_149,"[0, 1]",436
language_150,"[1, 1]",436
language_152,"[0, 1]",436
language_155,"[0, 1]",436
language_156,"[1, 1]",436
language_157,"[0, 0]",436
language_161,"[0, 1]",436
language_163,"[1, 1]",436
language_164,"[0, 1]",436
language_165,"[1, 1]",436
language_168,"[1, 1]",436
language_169,"[0, 1]",436
language_171,"[0, 0]",436
language_172,"[0, 1]",436
language_173,"[0, 1]",436
language_175,"[0, 1]",436
language_176,"[0, 1]",436
language_177,"[0, 1]",436
language_179,"[0, 1]",436
language_181,"[0, 1]",436
language_182,"[1, 0]",436
