TYPE,TERM
mB,ic̷i-naha
mZ,ľ̥inia-naha
mFZD,primu]
mFBD,primu]
mMBD,primu]
mMZD,primu]
mFBS,primu]
mFZS,primu]
mMBS,primu]
mMZS,primu]
meB,ic̷i-naha
myB,ic̷i-naha
meZ,ľ̥inia-naha
myZ,ľ̥inia-naha
mFeBS,primu]
mFyBS,primu]
mFeZS,primu]
mFyZS,primu]
mFeBD,primu]
mFyBD,primu]
mFeZD,primu]
mFyZD,primu]
mMeBS,primu]
mMyBS,primu]
mMeZS,primu]
mMyZS,primu]
mMeBD,primu]
mMyBD,primu]
mMeZD,primu]
mMyZD,primu]
mFBeS,primu]
mFByS,primu]
mFZeS,primu]
mFZyS,primu]
mFBeD,primu]
mFByD,primu]
mFZeD,primu]
mFZyD,primu]
mMBeS,primu]
mMByS,primu]
mMZeS,primu]
mMZyS,primu]
mMBeD,primu]
mMByD,primu]
mMZeD,primu]
mMZyD,primu]
mFZ,sowdamma
mFeB,beddava
mFyB,nanno
mMeZ,beddamma
mMeB,menamama
mFeZ,sowdamma
mFyZ,sowdamma
